Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Marthy W., Clough Y., Tscharntke T.","53980211100;14021066400;7003472839;","Assessing the biodiversity value of degraded lowland forest in Sumatra, Indonesia",2016,"Kukila","19","1",,"1","20",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010809654&partnerID=40&md5=fbed7fcca652b300be4438690665718d","Agroecology group, Georg-August-University, Grisebachstr. 6, Goettingen, D-37077, Germany; Centre for Environmental Climate Research (CEC), Lund University, Sweden; Wildlife Conservation Society-Indonesia Program, Jalan Tampomas Ujung No. 35, Bogor, 16151, Indonesia","Marthy, W., Agroecology group, Georg-August-University, Grisebachstr. 6, Goettingen, D-37077, Germany, Wildlife Conservation Society-Indonesia Program, Jalan Tampomas Ujung No. 35, Bogor, 16151, Indonesia; Clough, Y., Centre for Environmental Climate Research (CEC), Lund University, Sweden; Tscharntke, T., Agroecology group, Georg-August-University, Grisebachstr. 6, Goettingen, D-37077, Germany","Forest degradation, forest fires, and wildlife poaching have devastated biodiversity in Indonesia. To assess the impact of forest degradation and the potential for recovery, we used birds as a proxy for biodiversity and assessed density estimates (hereafter density) in the degraded lowland forest of Harapan Rainforest Ecosystem Restoration Concession (HRF) in Sumatra. In this study, a total of 149 bird species (from 5,317 individuals) were recorded. Of the 103 species for which densities could be calculated, 45% were lowland bird specialists (i.e. species occurring below 200 m above sea level in Sumatra), including three globally threatened and 41 Near-Threatened species. Comparison with bird densities in degraded forest of Borneo revealed that there was broad similarity across taxa but three species had significantly higher density, and four had significantly lower density, in HRF. The mosaic of degraded forest habitats in different stages of regeneration in HRF appears to support more individuals of some species, especially woodpeckers, than the Bornean sites, but fewer individuals of other species. Determining bird densities is essential to establish population baselines, allowing comparisons between sites and over time. The present study fills one gap, but we urge others to conduct similar studies to provide a better understanding of the temporal and spatial variation in bird density in Southeast Asia's degraded forests.",,Article,"Final",,Scopus,2-s2.0-85010809654
"Nappi A., Drapeau P., Leduc A.","7006191666;7005856982;7007114324;","How important is dead wood for woodpeckers foraging in eastern North American boreal forests?",2015,"Forest Ecology and Management","346",,,"10","21",,20,"10.1016/j.foreco.2015.02.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924663658&doi=10.1016%2fj.foreco.2015.02.028&partnerID=40&md5=dcaee7b11cf023837e5c3ae8e1c9cbff","Centre for Forest Research, Département des sciences biologiques, Université du Québec à Montréal, C.P. 8888, Succ. Centre-ville, Montréal, QC  H3C 3P8, Canada","Nappi, A., Centre for Forest Research, Département des sciences biologiques, Université du Québec à Montréal, C.P. 8888, Succ. Centre-ville, Montréal, QC  H3C 3P8, Canada; Drapeau, P., Centre for Forest Research, Département des sciences biologiques, Université du Québec à Montréal, C.P. 8888, Succ. Centre-ville, Montréal, QC  H3C 3P8, Canada; Leduc, A., Centre for Forest Research, Département des sciences biologiques, Université du Québec à Montréal, C.P. 8888, Succ. Centre-ville, Montréal, QC  H3C 3P8, Canada","Dead and decaying trees may be a limited resource for woodpeckers in managed forests, especially for species that rely on dead wood for nesting and foraging. Whereas recent nest web studies greatly increased our understanding of nest tree use by woodpeckers, knowledge on woodpeckers foraging requirements is much less developed. We quantified and compared tree selection patterns and foraging behavior of six bark-foraging woodpeckers - downy woodpecker (Picoides pubescens), hairy woodpecker (Picoides villosus), American three-toed woodpecker (Picoides dorsalis), black-backed woodpecker (Picoides arcticus), yellow-bellied sapsucker (Sphyropicus varius) and pileated woodpecker (Dryocopus pileatus) - that co-occur in eastern boreal forests of North America. A total of 271 observation bouts and more than 600 foraging trees were recorded at three study sites characterized as mixedwood, conifer, and burn. Our results show that dead wood represents an important foraging substrate for most bark-foraging woodpeckers in Canadian eastern boreal forests. However, significant differences in individual species were found with regard to substrate use patterns, foraging behavior and associated prey. Woodpeckers were categorized according to their selection for specific stages of tree degradation, with the yellow-bellied sapsucker and the pileated woodpecker representing opposite ends of this gradient. The black-backed woodpecker showed the highest use of dead wood and was very specific in its tree selection by using mostly recently dead trees. We emphasize that providing foraging substrates for most woodpecker species not only requires maintaining dead wood but also paying heed to the underlying dynamics of dead wood (e.g. recruitment and degradation) in managed boreal forest landscapes. © 2015 Elsevier B.V.","Boreal forest; Dead wood; Foraging; Picoides; Saproxylic; Woodpeckers",Article,"Final",,Scopus,2-s2.0-84924663658
"Lorenz T.J., Vierling K.T., Kozma J.M., Millard J.E., Raphael M.G.","56659205600;6602257928;7004235274;56797832900;7102899882;","Space use by white-headed woodpeckers and selection for recent forest disturbances",2015,"Journal of Wildlife Management","79","8",,"1286","1297",,9,"10.1002/jwmg.957","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945446697&doi=10.1002%2fjwmg.957&partnerID=40&md5=ba8ae5438a6e843f5e3c4a5066f9aede","Department of Fish and Wildlife Sciences, University of Idaho, P.O. Box 441136, Moscow, ID  83844, United States; Yakama Nation, Timber, Fish, and Wildlife/Fisheries Resource Management, P.O. Box 151, Toppenish, WA  98942, United States; U.S. Department of Agriculture, Forest Service, Wenatchee River Ranger District, 600 Sherbourne Street, Leavenworth, WA  98826, United States; U.S. Department of Agriculture, Forest Service, Pacific Northwest Research Station, 3625 93rd Avenue SW, Olympia, WA  98512, United States","Lorenz, T.J., Department of Fish and Wildlife Sciences, University of Idaho, P.O. Box 441136, Moscow, ID  83844, United States, U.S. Department of Agriculture, Forest Service, Pacific Northwest Research Station, 3625 93rd Avenue SW, Olympia, WA  98512, United States; Vierling, K.T., Department of Fish and Wildlife Sciences, University of Idaho, P.O. Box 441136, Moscow, ID  83844, United States; Kozma, J.M., Yakama Nation, Timber, Fish, and Wildlife/Fisheries Resource Management, P.O. Box 151, Toppenish, WA  98942, United States; Millard, J.E., U.S. Department of Agriculture, Forest Service, Wenatchee River Ranger District, 600 Sherbourne Street, Leavenworth, WA  98826, United States; Raphael, M.G., U.S. Department of Agriculture, Forest Service, Pacific Northwest Research Station, 3625 93rd Avenue SW, Olympia, WA  98512, United States","White-headed woodpeckers (Picoides albolarvatus) are important cavity excavators that recently have become the focus of much research because of concerns over population declines. Past studies have focused on nest site selection and survival but information is needed on factors influencing their space use when away from the nest. We examined space use by white-headed woodpeckers during the nesting (May-Jul) and post-nesting (Jul-Oct) periods and compared the role of environmental factors (e.g., landcover) and socio-demographic factors (e.g., age, breeding success) in home range size and selection of location. Average size of 99% kernel home ranges was 125 ha (SD ± 59 ha; n = 19) in the nesting period and 137 ha (SD ± 70 ha; n = 30) in the post-nesting period. Minimum convex polygons were generally comparable to or smaller than ranges reported from previous radio-telemetry studies with this species. Although bird weight and age best explained variation in home range size compared to other factors, neither parameter estimate was significant in our models. Thus, even though weight and age were the most-supported factors in our analysis, home range size was largely influenced by factors that we did not measure. We found that most woodpeckers selected home ranges within forest patches that had undergone a recent disturbance; these areas included forests that had recently been burned with prescribed fire by the United States Forest Service (82%) or subject to disease (16%). Most burned patches in our study were small (approx. 4.8 ha) and occurred within otherwise live forest but had nearly complete mortality of adult trees. We suggest that recent forest disturbances, especially mixed-severity prescribed burns, may have been selected by white-headed woodpeckers because they created snags for nesting and future studies should explore this hypothesis. Because home range size was variable and not linked with productivity, it should not be used as an indication of habitat quality without more detailed studies on causal factors that affect space use in this species. © Published 2015. This article is a U.S. Government work and is in the public domain in the USA.","burn; habitat selection; home range; mixed-severity prescribed fire; Picoides albolarvatus; Pinus ponderosa; ponderosa pine; resource selection; space use; white-headed woodpecker",Article,"Final",,Scopus,2-s2.0-84945446697
"Rota C.T., Rumble M.A., Lehman C.P., Kesler D.C., Millspaugh J.J.","35243175200;55899054300;11142113800;7005929293;7004625579;","Apparent foraging success reflects habitat quality in an irruptive species, the Black-backed Woodpecker",2015,"Condor","117","2",,"178","191",,7,"10.1650/CONDOR-14-112.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928108072&doi=10.1650%2fCONDOR-14-112.1&partnerID=40&md5=f470afe7793e2caf2eb9f6ee096696dd","Department of Fisheries and Wildlife Sciences, University of Missouri, Columbia, MS, United States; Forest and Grasslands Research Laboratory, Rapid City, SD, United States; South Dakota Department of Game, Fish and Parks, Custer State Park, Custer, SD, United States","Rota, C.T., Department of Fisheries and Wildlife Sciences, University of Missouri, Columbia, MS, United States; Rumble, M.A., Forest and Grasslands Research Laboratory, Rapid City, SD, United States; Lehman, C.P., South Dakota Department of Game, Fish and Parks, Custer State Park, Custer, SD, United States; Kesler, D.C., Department of Fisheries and Wildlife Sciences, University of Missouri, Columbia, MS, United States; Millspaugh, J.J., Department of Fisheries and Wildlife Sciences, University of Missouri, Columbia, MS, United States","Dramatic fluctuations in food resources are a key feature of many habitats, and many species have evolved a movement strategy to exploit food resources that are unpredictable in space and time. The availability of food resources may be a particularly strong determinant of habitat quality for irruptive bird species. We studied the apparent foraging success of Black-backed Woodpeckers (Picoides arcticus), an irruptive species that responds opportunistically to pulsed food resources in burned forests and mountain pine beetle (MPB) infestations. Prior investigations revealed that the highest population growth rates of Black-backed Woodpeckers occurred in habitat created by summer wildfire, with intermediate population growth rates in MPB infestations, and the lowest population growth rates in habitats created by prescribed fire in fall. We tested whether apparent foraging success was associated with known habitat quality in order to assess the potential for food availability to regulate population growth. We counted the number of successfully captured wood-boring beetle larvae and ""small"" prey on each tree that a Blackbacked Woodpecker used for foraging and modeled these counts as a function of habitat, tree diameter, number of years postfire, and tree disturbance category. Total apparent foraging success (the sum of observed captures of woodboring beetle larvae and small prey per tree) did not vary across habitats, but woodpeckers foraging in habitats created by summer wildfire were expected to capture 2.2 and 2.0 times more wood-boring beetles than woodpeckers foraging in habitats created by fall prescribed fire and MPB infestations, respectively. These results suggest that the availability of food resources may contribute to population regulation in this irruptive species. Furthermore, population growth in irruptive species may be highly sensitive to the availability of preferred food resources. Forests recently burned by summer wildfires provide relatively abundant food resources for Black-backed Woodpeckers and represent high-quality habitat for this species of conservation concern. © 2015 Cooper Ornithological Society.","Bark beetles; Disturbance; Ephemeral habitat; Foraging; Wood-boring beetles",Article,"Final",,Scopus,2-s2.0-84928108072
"Tremblay J.A., Ibarzabal J., Savard J.-P.L.","13605938200;13605395900;7004232258;","Contribution of Unburned Boreal Forests to the Population of Black-Backed Woodpecker in Eastern Canada",2015,"Ecoscience","22","2-4",,"145","155",,5,"10.1080/11956860.2016.1169386","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975455037&doi=10.1080%2f11956860.2016.1169386&partnerID=40&md5=6105ec5d15d18ab24ca7cbbadecbc1cf","Département des sciences fondamentales, Université du Québec à Chicoutimi, Chicoutimi, QC, Canada; Science and Technology Branch, Environment and Climate Change Canada, 1550 avenue d'EstimauvilleQC  G1J 0C3, Canada","Tremblay, J.A., Département des sciences fondamentales, Université du Québec à Chicoutimi, Chicoutimi, QC, Canada, Science and Technology Branch, Environment and Climate Change Canada, 1550 avenue d'EstimauvilleQC  G1J 0C3, Canada; Ibarzabal, J., Département des sciences fondamentales, Université du Québec à Chicoutimi, Chicoutimi, QC, Canada; Savard, J.-P.L., Science and Technology Branch, Environment and Climate Change Canada, 1550 avenue d'EstimauvilleQC  G1J 0C3, Canada","Black-backed woodpecker is known to be a disturbance-associated species, being more abundant in disturbed forest stands than in undisturbed habitats, but its demography and population dynamic still need to be clarified. The present study was conducted in central Quebec within coniferous forests shaped largely by timber harvest and wildfire. The objectives were to compare the age composition of breeding black-backed woodpeckers, nest survival rate and productivity in both disturbed and undisturbed habitats (respectively recently burned and unburned habitats). In addition, we evaluated the general productivity of both habitat types in a simulated boreal landscape. There was a positive relationship between nest age and daily survival rates. Older woodpeckers were the most abundant breeders in unburned habitats and younger birds in oneyear-old burns. Although nests in recently burned forests produced more nestlings per successful nest, our simulation of a boreal forest landscape showed that unburned habitat produced about two-thirds more fledglings per year than burned habitat. Globally, unburned habitat may provide woodpeckers more temporally stable resources. Population dynamics of the black-backed woodpecker, at least in our study area, may be explained by resource pulse interactions where populations benefit opportunistically from short-term high-quality habitat, and rely on unburned habitats for long-term persistence. © 2016 Taylor & Francis.","age-class structure; nest survival; Picoides arcticus; resource pulse interactions; wildfire",Article,"Final",,Scopus,2-s2.0-84975455037
"Holoubek N.S., Jensen W.E.","56529729500;7102799440;","Avian occupancy varies with habitat structure in oak savanna of the south-central United States",2015,"Journal of Wildlife Management","79","3",,"458","468",,5,"10.1002/jwmg.849","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925612480&doi=10.1002%2fjwmg.849&partnerID=40&md5=21de8eec2785ec232bb73cccf95e4e50","Emporia State University, 1200 Commercial Avenue, Emporia, KS  66801, United States","Holoubek, N.S., Emporia State University, 1200 Commercial Avenue, Emporia, KS  66801, United States; Jensen, W.E., Emporia State University, 1200 Commercial Avenue, Emporia, KS  66801, United States","Oak savanna, once widespread across central North America, has functionally vanished from most of its range because of land conversion or fire suppression, but much oak savanna remains in the Cross Timbers ecoregion of the south-central United States. We quantified avian habitat associations across a gradient from open oak savanna to woodland, to closed canopy forest in the Cross Timbers of southeastern Kansas. We surveyed breeding bird species in 2012 and 2013 and modeled species-specific occupancy in relation to habitat variables. Several species, including the northern bobwhite (Colinus virginianus), yellow-billed cuckoo (Coccyzus americanus), downy woodpecker (Picoides pubescens), Bewick's wren (Thryomanes bewickii), northern mockingbird (Mimus polyglottos), field sparrow (Spizella pusilla), dickcissel (Spiza americana), and orchard oriole (Icterus spurius) were associated with lower levels of tree density or canopy cover (i.e., savanna-woodland). Species associated with greater levels of tree density or canopy cover at some spatial scale included eastern wood-pewee (Contopus virens), white-breasted nuthatch (Sitta carolinensis), blue-gray gnatcatcher (Polioptila caerulea), and indigo bunting (Passerina cyanea). Occupancy of eastern wood-pewee and blue grosbeak (Passerina caerulea) were highest at intermediate levels of canopy cover (50-m radius) and tree density, respectively. Occupancies of eastern wood-pewee, northern mockingbird, lark sparrow (Chondestes grammacus), indigo bunting, and brown-headed cowbird (Molothrus ater) were variously related to shrub density, which was unrelated to tree cover or density across the savanna-forest gradient. We expect the savanna-associated species would benefit from reduction in tree density to savanna-like habitat (tree canopy cover ≤25%) within forests that were formerly savanna. © The Wildlife Society, 2015.","birds; canopy cover; Cross Timbers; oak savanna; occupancy; tree density",Article,"Final",,Scopus,2-s2.0-84925612480
"Rota C.T., Millspaugh J.J., Rumble M.A., Lehman C.P., Kesler D.C.","35243175200;7004625579;55899054300;11142113800;7005929293;","The role of wildfire, prescribed fire, and mountain pine beetle infestations on the population dynamics of black-backed woodpeckers in the Black Hills, South Dakota",2014,"PLoS ONE","9","4", e94700,"","",,13,"10.1371/journal.pone.0094700","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899713938&doi=10.1371%2fjournal.pone.0094700&partnerID=40&md5=575b72106b077946b5f3e3bd804e831e","Department of Fisheries and Wildlife Sciences, University of Missouri, Columbia, MO, United States; Forest and Grassland Research Laboratory, United States Forest Service Rocky Mountain Research Station, Rapid City, SD, United States; South Dakota Department of Game, Fish, and Parks, Custer State Park, Custer, SD, United States","Rota, C.T., Department of Fisheries and Wildlife Sciences, University of Missouri, Columbia, MO, United States; Millspaugh, J.J., Department of Fisheries and Wildlife Sciences, University of Missouri, Columbia, MO, United States; Rumble, M.A., Forest and Grassland Research Laboratory, United States Forest Service Rocky Mountain Research Station, Rapid City, SD, United States; Lehman, C.P., South Dakota Department of Game, Fish, and Parks, Custer State Park, Custer, SD, United States; Kesler, D.C., Department of Fisheries and Wildlife Sciences, University of Missouri, Columbia, MO, United States","Wildfire and mountain pine beetle infestations are naturally occurring disturbances in western North American forests. Black-backed woodpeckers (Picoides arcticus) are emblematic of the role these disturbances play in creating wildlife habitat, since they are strongly associated with recently-killed forests. However, management practices aimed at reducing the economic impact of natural disturbances can result in habitat loss for this species. Although black-backed woodpeckers occupy habitats created by wildfire, prescribed fire, and mountain pine beetle infestations, the relative value of these habitats remains unknown. We studied habitat-specific adult and juvenile survival probabilities and reproductive rates between April 2008 and August 2012 in the Black Hills, South Dakota. We estimated habitat-specific adult and juvenile survival probability with Bayesian multi-state models and habitat-specific reproductive success with Bayesian nest survival models. We calculated asymptotic population growth rates from estimated demographic rates with matrix projection models. Adult and juvenile survival and nest success were highest in habitat created by summer wildfire, intermediate in MPB infestations, and lowest in habitat created by fall prescribed fire. Mean posterior distributions of population growth rates indicated growing populations in habitat created by summer wildfire and declining populations in fall prescribed fire and mountain pine beetle infestations. Our finding that population growth rates were positive only in habitat created by summer wildfire underscores the need to maintain early post-wildfire habitat across the landscape. The lower growth rates in fall prescribed fire and MPB infestations may be attributed to differences in predator communities and food resources relative to summer wildfire.",,Article,"Final",Open Access,Scopus,2-s2.0-84899713938
"Rota C.T., Rumble M.A., Millspaugh J.J., Lehman C.P., Kesler D.C.","35243175200;55899054300;7004625579;11142113800;7005929293;","Space-use and habitat associations of Black-backed Woodpeckers (Picoides arcticus) occupying recently disturbed forests in the Black Hills, South Dakota",2014,"Forest Ecology and Management","313",,,"161","168",,19,"10.1016/j.foreco.2013.10.048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889025251&doi=10.1016%2fj.foreco.2013.10.048&partnerID=40&md5=ec1d6a622c50c98c9a4c5144213790cc","University of Missouri, Department of Fisheries and Wildlife Sciences, 302 Anheuser-Busch Natural Resources Building, Columbia, MO 65211, United States; Forest and Grassland Research Laboratory, U.S. Forest Service Rocky Mountain Research Station, 8221 South Highway 16, Rapid City, SD 57702, United States; Custer State Park, 13329 US Highway 16A, Custer, SD 57730, United States","Rota, C.T., University of Missouri, Department of Fisheries and Wildlife Sciences, 302 Anheuser-Busch Natural Resources Building, Columbia, MO 65211, United States; Rumble, M.A., Forest and Grassland Research Laboratory, U.S. Forest Service Rocky Mountain Research Station, 8221 South Highway 16, Rapid City, SD 57702, United States; Millspaugh, J.J., University of Missouri, Department of Fisheries and Wildlife Sciences, 302 Anheuser-Busch Natural Resources Building, Columbia, MO 65211, United States; Lehman, C.P., Custer State Park, 13329 US Highway 16A, Custer, SD 57730, United States; Kesler, D.C., University of Missouri, Department of Fisheries and Wildlife Sciences, 302 Anheuser-Busch Natural Resources Building, Columbia, MO 65211, United States","Black-backed Woodpeckers (Picoides arcticus) are a disturbance-dependent species that occupy recently burned forest and mountain pine beetle (MPB) infestations. Forest management practices that reduce the amount of disturbed forest may lead to habitat loss for Black-backed Woodpeckers, which have recently been petitioned for listing under the Endangered Species Act. We studied home range size and resource selection of Black-backed Woodpeckers occupying habitat created by summer wildfire, fall prescribed fire, and MPB infestations in the Black Hills, South Dakota. We studied home range size and resource selection by attaching radio-transmitters to adult Black-backed Woodpeckers. We estimated home range size using fixed kernel density techniques (n=28 in habitat created by summer wildfire, n=19 in habitat created by fall prescribed fire, and n=27 in MPB infestations). We evaluated resource selection with a random-effects discrete choice model in a Bayesian framework (n=5 in habitat created by summer wildfire, n=16 in habitat created by fall prescribed fire, and n=8 in habitat created by MPB infestations). Home range size was smallest in 1-2year post summer wildfire habitat (mean home range size=79ha) and 2-year post fall prescribed fire habitat (mean home range size=143ha). Home range size was intermediate in MPB infestations (mean home range size=307ha) and was greatest in 3-4year post fire habitat (mean summer wildfire home range size=430 hectares, mean fall prescribed fire home range size=460ha). The relative probability that a Black-backed Woodpecker used a tree increased with increasing diameter at breast height (DBH) and basal area and was greatest on disturbance-killed trees. These results suggest 1-2year post summer wildfire habitat may have the greatest relative value to Black-backed Woodpeckers and that MPB infestations may be more important as post-fire habitats age. We recommend retaining patches of 1-2year post summer wildfire habitat that are at least 200ha by exempting portions of recently burned forest from salvage logging. This recommendation can be accomplished by exempting salvage logging in summer wildfires &lt;200ha and retaining at least 50% of summer wildfires &gt;400ha. Ideally, recently burned forest patches should be composed of ≥27m2 basal area/ha of trees that burned at moderate or high severity, with at least 40% of the basal area composed of trees ≥27cm DBH. © 2013 Elsevier B.V.","Bark beetles; Mountain pine beetle; Prescribed fire; Resource selection; Wildfire",Article,"Final",,Scopus,2-s2.0-84889025251
"Fogg A.M., Jay Roberts L., Burnett R.D.","55602101900;56462924200;36617014800;","Occurrence patterns of black-backed woodpeckers in green forest of the Sierra Nevada Mountains, California, USA [Tendance dans l’occurrence du pic à dos noir dans les forêts vertes de la sierra nevada, Californie, États-unis]",2014,"Avian Conservation and Ecology","9","2",,"","",,15,"10.5751/ACE-00671-090203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919934928&doi=10.5751%2fACE-00671-090203&partnerID=40&md5=176e5cc6c1ca452965e0133c1421fd00","Point Blue Conservation Science, United States","Fogg, A.M., Point Blue Conservation Science, United States; Jay Roberts, L., Point Blue Conservation Science, United States; Burnett, R.D., Point Blue Conservation Science, United States","Black-backed Woodpeckers (Picoides arcticus) are a rare habitat specialist typically found in moderate and high severity burned forest throughout its range. It also inhabits green forest but little is known about occurrence and habitat use patterns outside of burned areas, especially in the Sierra Nevada of California, USA. We used point count and playback surveys to detect Black-backed Woodpeckers during 2011 - 2013 on 460 transects on 10 national forest units. We defined green forest as areas that had not burned at moderate or high severity since 1991 and were more than 2 km from areas burned at moderate or high severity within the previous eight years (n = 386 transects). We used occupancy models to examine green forest habitat associations and found positive relationships with elevation, latitude, northern aspects, number of snags, tree diameter, lodgepole pine (Pinus contorta) forest, and a negative relationship with slope. Estimated occupancy in green forest was higher than previously understood (0.21). In addition site colonization and extinction probability in green forest were low (0.05 and 0.19, respectively) and suggest that many of the individuals detected in green forest were not just actively dispersing across the landscape in search of burned areas, but were occupying relatively stable home ranges. The association with high elevation and lodgepole pine forest may increase their exposure to climate change as these elevation forest types are predicted to decrease in extent over the next century. Although density is high in burned forest, green forest covers significantly more area in the Sierra Nevada and should be considered in efforts to conserve this rare species. © 2014 by the author(s). Published here under license by the Resilience Alliance.","Forest management; Habitat specialist; Occupancy modeling; Picoides arcticus; Secondary habitat",Article,"Final",Open Access,Scopus,2-s2.0-84919934928
"Latif Q.S., Saab V.A., Dudley J.G., Hollenbeck J.P.","13611832400;6603192299;7102009012;16244950700;","Ensemble modeling to predict habitat suitability for a large-scale disturbance specialist",2013,"Ecology and Evolution","3","13",,"4348","4364",,11,"10.1002/ece3.790","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887509809&doi=10.1002%2fece3.790&partnerID=40&md5=6c1813972ef68d18ce8686ebc28aad42","Rocky Mountain Research Station, U.S. Forest Service, 1648 S. 7th Ave., Bozeman, MT, United States; Rocky Mountain Research Station, U.S. Forest Service, 322 E. Front St., Suite 401, Boise, ID, United States; USGS Forest and Rangeland Ecosystem Science Center, 3200 SW Jefferson Way, Corvallis, OR, United States","Latif, Q.S., Rocky Mountain Research Station, U.S. Forest Service, 1648 S. 7th Ave., Bozeman, MT, United States; Saab, V.A., Rocky Mountain Research Station, U.S. Forest Service, 1648 S. 7th Ave., Bozeman, MT, United States; Dudley, J.G., Rocky Mountain Research Station, U.S. Forest Service, 322 E. Front St., Suite 401, Boise, ID, United States; Hollenbeck, J.P., USGS Forest and Rangeland Ecosystem Science Center, 3200 SW Jefferson Way, Corvallis, OR, United States","To conserve habitat for disturbance specialist species, ecologists must identify where individuals will likely settle in newly disturbed areas. Habitat suitability models can predict which sites at new disturbances will most likely attract specialists. Without validation data from newly disturbed areas, however, the best approach for maximizing predictive accuracy can be unclear (Northwestern U.S.A.). We predicted habitat suitability for nesting Black-backed Woodpeckers (Picoides arcticus; a burned-forest specialist) at 20 recently (≤6 years postwildfire) burned locations in Montana using models calibrated with data from three locations in Washington, Oregon, and Idaho. We developed 8 models using three techniques (weighted logistic regression, Maxent, and Mahalanobis D2 models) and various combinations of four environmental variables describing burn severity, the north-south orientation of topographic slope, and prefire canopy cover. After translating model predictions into binary classifications (0 = low suitability to unsuitable, 1 = high to moderate suitability), we compiled ""ensemble predictions,"" consisting of the number of models (0-8) predicting any given site as highly suitable. The suitability status for 40% of the area burned by eastside Montana wildfires was consistent across models and therefore robust to uncertainty in the relative accuracy of particular models and in alternative ecological hypotheses they described. Ensemble predictions exhibited two desirable properties: (1) a positive relationship with apparent rates of nest occurrence at calibration locations and (2) declining model agreement outside surveyed environments consistent with our reduced confidence in novel (i.e., ""no-analogue"") environments. Areas of disagreement among models suggested where future surveys could help validate and refine models for an improved understanding of Black-backed Woodpecker nesting habitat relationships. Ensemble predictions presented here can help guide managers attempting to balance salvage logging with habitat conservation in burned-forest landscapes where black-backed woodpecker nest location data are not immediately available. Ensemble modeling represents a promising tool for guiding conservation of large-scale disturbance specialists. © 2013 The Authors. Ecology and Evolution published by John Wiley &amp; Sons Ltd.","Black-backed Woodpeckers; Forested habitat management; Habitat suitability models; Mahalanobis D2 models; Maxent models; Model prediction in no-analogue environments; Picoides arcticus; Resource selection models; Species distribution models; Wildfire",Article,"Final",Open Access,Scopus,2-s2.0-84887509809
