Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
"Boucher P., Hébert C., Francoeur A., Sirois L.","57190430928;7102469444;6701649254;7003286554;","Postfire Succession of Ants (Hymenoptera: Formicidae) Nesting in Dead Wood of Northern Boreal Forest",2015,"Environmental Entomology","44","5",,"1316","1327",,1,"10.1093/ee/nvv109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949908517&doi=10.1093%2fee%2fnvv109&partnerID=40&md5=f48630423b9d6d24285f63f1eafdecc8","Département de Biologie, Chimie and Géographie, Université du Québec A Rimouski, 300 allée des Ursulines, Rimouski, QC  G5L 3A1, Canada; Natural Resources Canada, Canadian Forest Service, Laurentian Forestry Centre, 1055 du P.E.P.S., Québec, QC  G1V 4C7, Canada; Université du Québec A Chicoutimi, 555 de l'Université, Saguenay, QC  G7H 2B1, Canada","Boucher, P., Département de Biologie, Chimie and Géographie, Université du Québec A Rimouski, 300 allée des Ursulines, Rimouski, QC  G5L 3A1, Canada; Hébert, C., Natural Resources Canada, Canadian Forest Service, Laurentian Forestry Centre, 1055 du P.E.P.S., Québec, QC  G1V 4C7, Canada; Francoeur, A., Université du Québec A Chicoutimi, 555 de l'Université, Saguenay, QC  G7H 2B1, Canada; Sirois, L., Département de Biologie, Chimie and Géographie, Université du Québec A Rimouski, 300 allée des Ursulines, Rimouski, QC  G5L 3A1, Canada","Dead wood decomposition begins immediately after tree death and involves a large array of invertebrates. Ecological successions are still poorly known for saproxylic organisms, particularly in boreal forests. We investigated the use of dead wood as nesting sites for ants along a 60-yr postfire chronosequence in northeastern coniferous forests. We sampled a total of 1,625 pieces of dead wood, in which 263 ant nests were found. Overall, ant abundance increased during the first 30 yr after wildfire, and then declined. Leptothorax cf. canadensis Provancher, the most abundant species in our study, was absent during the first 2 yr postfire, but increased steadily until 30 yr after fire, whereas Myrmica alaskensis Wheeler, second in abundance, was found at all stages of succession in the chronosequence. Six other species were less frequently found, among which Camponotus herculeanus (Linné), Formica neorufibarbis Emery, and Formica aserva Forel were locally abundant, but more scarcely distributed. Dead wood lying on the ground and showing numerous woodborer holes had a higher probability of being colonized by ants. The C:N ratio was lower for dead wood colonized by ants than for noncolonized dead wood, showing that the continuous occupation of dead wood by ants influences the carbon and nitrogen dynamics of dead wood after wildfire in northern boreal forests. © The Authors 2015. Published by Oxford University Press on behalf of Entomological Society of America.","ant; boreal forest; dead wood; succession; wildfire",Article,,Scopus,2-s2.0-84949908517
"Reilly M.J., Spies T.A., Peters D.P.C.","12785984900;7006769507;7403067266;","Regional variation in stand structure and development in forests of Oregon, Washington, and inland Northern California",2015,"Ecosphere","6","10", 192,"","",,13,"10.1890/ES14-00469.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946917203&doi=10.1890%2fES14-00469.1&partnerID=40&md5=40e287f4a98ea5c3ad7a2ef1766a676a","Department of Forest Ecosystems and Society, College of Forestry, Oregon State University, Corvallis, OR  97331, United States; United States Department of Agriculture, Forest Service, Pacific Northwest Research Station, Corvallis, OR  97331, United States","Reilly, M.J., Department of Forest Ecosystems and Society, College of Forestry, Oregon State University, Corvallis, OR  97331, United States; Spies, T.A., United States Department of Agriculture, Forest Service, Pacific Northwest Research Station, Corvallis, OR  97331, United States; Peters, D.P.C.","Despite its importance to biodiversity and ecosystem function, patterns and drivers of regional scale variation in forest structure and development are poorly understood. We characterize structural variation, create a hierarchical classification of forest structure, and develop an empirically based framework for conceptualizing structural development from 11,091 plots across 25 million ha of all ownerships in Oregon, Washington, and inland Northern California, USA. A single component related to live tree biomass accounted for almost half of the variation in a principal components analysis of structural attributes, but components related to live tree density and size, dead wood, and understory vegetation together accounted for as much additional variation. These results indicate that structural development is more complex than a monotonic accumulation of live biomass as other components may act independently or emerge at multiple points during development. The classification revealed the diversity of structural conditions expressed at all levels of live biomass depending on the timing and relative importance of a variety of ecological processes (e.g., mortality) in different vegetation zones. Low live biomass structural types (,25 Mg/ha) illustrated the diversity of early-seral conditions and differed primarily in density of live trees and abundance of snags and dead wood. Moderate live biomass structural types (25-99 Mg/ha) differed in tree size and density and generally lacked dead wood, but some structurally diverse types associated with partial stand-replacing disturbance had abundant live and dead legacies. High live biomass structural types (.100 Mg/ha) substantiated the diversity of later developmental stages and exhibited considerable variation in the abundance of dead wood and density of big trees. Most structural types corresponded with previously described stages of development, but others associated with protracted early development, woodland/savannah transitions, and partial stand-replacing disturbance lacked analogs and indicated alternative pathways of development. We propose a conceptual framework that distinguishes among families of pathways depending on the range of variation along different components of structure, the relative importance of different disturbances, and complexity of pathways. Our framework is a starting point for developing more comprehensive models of structural development that apply to a wider variety of vegetation zones differing in environment and disturbance regimes. © 2015 Reilly and Spies.","Disturbance history; Early-seral vegetation; Forest structural development; Live and dead biomass; Logging; Old-growth; Pacific Northwest; Tree density and size; Understory vegetation; Wildfire",Article,Open Access,Scopus,2-s2.0-84946917203
"Brown D.J., Ferrato J.R., White C.J., Mali I., Forstner M.R.J., Simpson T.R.","55738764000;56624595300;56625451400;42262281700;7004069612;7202539057;","Short-term changes in summer and winter resident bird communities following a high severity wildfire in a southern USA mixed pine/hardwood forest",2015,"Forest Ecology and Management","350",,,"13","21",,4,"10.1016/j.foreco.2015.04.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928986199&doi=10.1016%2fj.foreco.2015.04.017&partnerID=40&md5=cd09a3dc8a2a29d9b5f7a82a09d4c4cd","Department of Forest and Wildlife Ecology, University of Wisconsin, 1630 Linden Drive, Madison, WI  53706, United States; The Nature Conservancy, 200 East Grayson Street, San Antonio, TX  78215, United States; Department of Biology, Lone Star College, 9191 Barker Cypress Road, Cypress, TX  77433, United States; Department of Biology, Texas State University, 601 University Drive, San Marcos, TX  78666, United States","Brown, D.J., Department of Forest and Wildlife Ecology, University of Wisconsin, 1630 Linden Drive, Madison, WI  53706, United States; Ferrato, J.R., The Nature Conservancy, 200 East Grayson Street, San Antonio, TX  78215, United States; White, C.J., Department of Biology, Lone Star College, 9191 Barker Cypress Road, Cypress, TX  77433, United States; Mali, I., Department of Biology, Texas State University, 601 University Drive, San Marcos, TX  78666, United States; Forstner, M.R.J., Department of Biology, Texas State University, 601 University Drive, San Marcos, TX  78666, United States; Simpson, T.R., Department of Biology, Texas State University, 601 University Drive, San Marcos, TX  78666, United States","High severity forest fires are increasing in large areas of the southern and western United States as the climate becomes warmer and drier. Given their strong roles in ecosystem dynamics, documenting the response of bird communities to wildfires is important for improving our understanding and management of post-wildfire ecosystems. However, because wildfires are unplanned events, relatively few studies have been conducted to assess local-scale impacts on forest bird communities. In this study, we had the opportunity to use a before-after, control-impact (BACI) approach to assess the response of resident birds to high severity wildfires that occurred in the Lost Pines ecoregion of Texas in September and October 2011. We replicated a previous study using point count surveys to assess summer and winter bird community changes ca. 1. year after the wildfires. We found that total number of detected individuals did not change following the wildfires, but winter bird species richness increased in burned habitat. Changes were apparent at the foraging guild-level for the winter bird community, with an increase in aerial insectivores and decrease in bark insectivores. Summer and winter bird community composition changes were apparent at the species-level and generally agreed with species-specific habitat preferences. For example, species such as eastern bluebirds and chipping sparrows that prefer open woodlands were positively associated with burned habitat. Our results provide quantitative evidence that high severity forest fires increased habitat suitability for many resident bird species. At the landscape-scale, fire-induced increases in habitat heterogeneity could result in higher bird diversity in the Lost Pines ecoregion. We expect bird community composition will be dynamic in the Lost Pines ecoregion over the next few decades as the burned habitat continues to change through successional processes and post-fire management actions. © 2015 Elsevier B.V.","Fire; Loblolly pine; Lost Pines; Texas",Article,,Scopus,2-s2.0-84928986199
"Lee D.E., Bond M.L.","55510828500;7202608779;","Previous year's reproductive state affects Spotted Owl site occupancy and reproduction responses to natural and anthropogenic disturbances",2015,"Condor","117","3",,"307","319",,10,"10.1650/CONDOR-14-197.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939123343&doi=10.1650%2fCONDOR-14-197.1&partnerID=40&md5=34b2011c340566800442850836564310","Wild Nature Institute, Hanover, NH, United States","Lee, D.E., Wild Nature Institute, Hanover, NH, United States; Bond, M.L., Wild Nature Institute, Hanover, NH, United States","Understanding interactions among site occupancy, reproduction, vegetation, and disturbance for threatened species can improve conservation measures, because important aspects of vegetation and disturbances may be identified and managed. We used 9 yr of survey data collected at 168 sites to investigate dynamic site occupancy and reproduction in a declining population of California Spotted Owls (Strix occidentalis occidentalis) in southern California, USA. We used multistate models to examine the relationship among owl site occupancy, reproduction, high-severity wildland fire, and postfire logging, while accounting for variation in vegetation characteristics and variation in detectability. Both occupancy and reproduction were positively correlated with successful reproduction in the previous year. Tree cover (ha) in a site's 203-ha core area also was positively correlated with both occupancy and reproduction. We detected no effect of disturbance covariates on reproduction, given that a site was occupied. Fire and logging covariates were both negatively correlated with the probability of site occupancy, and the effect sizes of these disturbances were large in sites that were occupied by owls that were nonreproductive the previous year (reduced 0.19 by fire and 0.26 by postfire logging), but small in sites that were occupied by owls that were reproductive the previous year (reduced 0.02 by fire and 0.03 by postfire logging). This study illustrates the important contribution of consistently occupied and productive breeding sites to this population of Spotted Owls, and demonstrates that both occupancy and reproduction at these productive sites exhibited negligible effects from disturbances. Our results suggest that sites with recent owl reproduction and sites with more tree cover in this study area should receive enhanced protection from management actions that modify vegetation utilized by Spotted Owls. © 2015 Cooper Ornithological Society.","Fire; Logging; Occupancy; Reproduction; Southern California; Spotted Owl",Article,,Scopus,2-s2.0-84939123343
"Stephens J.L., Ausprey I.J., Seavy N.E., Alexander J.D.","23973624100;38360942400;6602553852;37022400600;","Fire severity affects mixed broadleaf-conifer forest bird communities: Results for 9 years following fire",2015,"Condor","117","3",,"430","446",,7,"10.1650/CONDOR-14-58.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939140840&doi=10.1650%2fCONDOR-14-58.1&partnerID=40&md5=270ddb4e95acda166d8820537e00c1d5","Klamath Bird Observatory, Ashland, OR, United States; Florida Museum of Natural History, Department of Biology, University of Florida, Gainesville, FL, United States; Point Blue Conservation Science, Petaluma, CA, United States","Stephens, J.L., Klamath Bird Observatory, Ashland, OR, United States; Ausprey, I.J., Klamath Bird Observatory, Ashland, OR, United States, Florida Museum of Natural History, Department of Biology, University of Florida, Gainesville, FL, United States; Seavy, N.E., Point Blue Conservation Science, Petaluma, CA, United States; Alexander, J.D., Klamath Bird Observatory, Ashland, OR, United States","Wildfire is an important disturbance regime that can structure wildlife communities and their habitats for many years. Using a before-after-control-impact framework, we evaluated the effect of the Quartz Fire on a mixed broadleaf- conifer forest and associated bird community in southwestern Oregon, USA, over 10 yr. To assess whether fire severity explained changes better than simply whether an area was burned, we used a tiered sampling approach by comparing unburned control points with either all burned points combined (burned) or those same points partitioned by severity level (low, moderate, high). As expected, overall tree cover decreased while cover of shrubs increased in response to greater fire severity. This pattern was most pronounced in high-severity areas, where tree cover declined by 40% and remained depressed, but shrub cover recovered from 10% the year following fire to 75% by year 6. Ordinations of bird species density showed turnover in community composition in all burned areas combined, as well as in moderate-severity areas, shifting to a shrub-associated community 9 yr postfire. For individual species, annual density variations were best explained by fire for 14 of 37 species, with fire severity providing the best-fitting model for 7 species. Of those 7 species, 3 declined and 4 increased with greater severity. When grouped into guilds, flycatching foragers and shrub nesters increased with greater fire severity. Our results illustrate the importance of mixed-severity wildfire in creating diverse vegetation structure and composition that supports distinct bird communities for at least a decade following fire. © 2015 Cooper Ornithological Society.","Bird density; Community composition; Fire severity; Guilds; Vegetation; Wildfire",Article,,Scopus,2-s2.0-84939140840
"Kosicki J.Z., Stachura K., Ostrowska M., Rybska E.","6602315149;15063508300;56507556200;36988180900;","Complex species distribution models of Goldcrests and Firecrests densities in Poland: are remote sensing-based predictors sufficient?",2015,"Ecological Research","30","4",,"625","638",,5,"10.1007/s11284-015-1263-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937641066&doi=10.1007%2fs11284-015-1263-5&partnerID=40&md5=5c11ee00b4a9bab2d6706c77d8aa1a7a","Laboratory and Museum of Evolutionary Ecology, Department of Ecology, University of Prešov, 17. novembra 1 081 16, Prešov, Slovakia; Department of Avian Biology and Ecology, Adam Mickiewicz University, Umultowska 89, Poznań, 61-614, Poland; Laboratory of Biological Spatial Information, Adam Mickiewicz University, Umultowska 89, Poznań, 61-614, Poland; Department of Nature Education and Conservation, Adam Mickiewicz University, Umultowska 89, Poznań, 61-614, Poland","Kosicki, J.Z., Laboratory and Museum of Evolutionary Ecology, Department of Ecology, University of Prešov, 17. novembra 1 081 16, Prešov, Slovakia, Department of Avian Biology and Ecology, Adam Mickiewicz University, Umultowska 89, Poznań, 61-614, Poland; Stachura, K., Laboratory of Biological Spatial Information, Adam Mickiewicz University, Umultowska 89, Poznań, 61-614, Poland; Ostrowska, M., Department of Avian Biology and Ecology, Adam Mickiewicz University, Umultowska 89, Poznań, 61-614, Poland; Rybska, E., Department of Nature Education and Conservation, Adam Mickiewicz University, Umultowska 89, Poznań, 61-614, Poland","Abstract: Species distribution models should identify ecological requirements of species and predict their spatial density. However, data from remote sensing sources are often used alone as predictors in modelling distributions. Such data will only produce accurate models if features that are distinguishable by remote sensing are a good match to the environmental traits that delineate habitat requirements. Both the Goldcrest Regulus regulus and the Firecrest Regulus ignicapilla respond to complex features of habitats that are not described by simple remote sensing data. We tested the usefulness of remote sensing data as a predictor for two Regulus species according to data from 970 study plots sized 1 × 1 km. Predictors were aggregated using the PCAs and related to the Hayne estimator of species density using GAMs. The models based on both remote sensing data and detailed environmental data proved to be better than the model based only on remote sensing data and/or detailed forest structure data. The Goldcrest reached the highest density in areas with a high share of old spruce-dominated forests with a substantial share of the fir, avoiding the pine, and it preferred forests with a low number of tree species. In turn, the Firecrest favoured old forests, dominated by the spruce and the beech, with an admixture of single old fir and larch trees, avoiding the pine, and preferring forests with a high number of tree species. We suggest using not only free data sources, but also more detailed data containing thorough information on forest inventory derived from ground measurements. © 2015, The Author(s).","Firecrest; Forest stand structure; Goldcrest; Habitat selection; Species’ distribution models",Article,Open Access,Scopus,2-s2.0-84937641066
"Hanula J.L., Horn S., O'Brien J.J.","6701759740;7103259892;16316629400;","Have changing forests conditions contributed to pollinator decline in the southeastern United States?",2015,"Forest Ecology and Management","348",,,"142","152",,14,"10.1016/j.foreco.2015.03.044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928014295&doi=10.1016%2fj.foreco.2015.03.044&partnerID=40&md5=d34e2ab8c5921c8abdd35300d7652c04","USDA Forest Service, Southern Research Station, 320 Green Street, Athens, GA  30602, United States","Hanula, J.L., USDA Forest Service, Southern Research Station, 320 Green Street, Athens, GA  30602, United States; Horn, S., USDA Forest Service, Southern Research Station, 320 Green Street, Athens, GA  30602, United States; O'Brien, J.J., USDA Forest Service, Southern Research Station, 320 Green Street, Athens, GA  30602, United States","Two conservation goals of the early 20th century, extensive reforestation and reduced wildfire through fire exclusion, may have contributed to declining pollinator abundance as forests became denser and shrub covered. To examine how forest structure affects bees we selected 5 stands in each of 7 forest types including: cleared forest; dense young pines; thinned young pines; mature open pine with extensive shrub/sapling cover; mature open pine with extensive herbaceous plant cover and little shrub cover; mature upland hardwood forest; and mature riparian hardwood forest. We sampled bees during the 2008 growing season using pan traps and measured overstory tree density, understory herbaceous plant and shrub diversity and cover, light penetration, and leaf area index. Numbers of bees and numbers of species per plot were highest in cleared forest and in mature pine stands with an herbaceous plant understory. Estimates of asymptotic species richness were highest in mature riparian hardwood forests, cleared forests and open pine forests with an herbaceous plant understory. Bee communities in the cleared forests and in the mature pine with an herbaceous plant understory were grouped together in ordination space which was consistent with perMANOVA results. The best predictor variable for bee species density was total tree basal area which was negatively correlated (r2=0.58), while the best model for predicting bee abundance (r2=0.62) included canopy openness, plant species density (both positively correlated) and shrub cover (negatively correlated). Our results combined with many others show that thinning forests combined with shrub control provides good bee habitat, is compatible with habitat restoration and management for other species, and the resulting forests will be healthier and less susceptible to old (e.g., southern pine beetle, Dendroctonus frontalis) and new (European woodwasp, Sirex noctilio) threats. © 2015.","Apoidea; Forest cover; Forest health; Native bees; Pollinator decline; Solitary bees",Article,,Scopus,2-s2.0-84928014295
"Lashley M.A., Chitwood M.C., Kays R., Harper C.A., DePerno C.S., Moorman C.E.","47861150500;37057145900;6603512259;7201981368;6602893910;7005887693;","Prescribed fire affects female white-tailed deer habitat use during summer lactation",2015,"Forest Ecology and Management","348",,,"220","225",,14,"10.1016/j.foreco.2015.03.041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928232750&doi=10.1016%2fj.foreco.2015.03.041&partnerID=40&md5=2aabc552e854343bf0044420cd383be6","Fisheries, Wildlife and Conservation Biology Program, Department of Forestry and Environmental Resources, North Carolina State University, 110 Brooks Avenue, Raleigh, NC  27607, United States; North Carolina Museum of Natural Sciences, 11 West Jones Street, Raleigh, NC  27601, United States; Department of Forestry, Wildlife and Fisheries, University of Tennessee, 2431 Joe Johnson Drive, Knoxville, TN  37996, United States","Lashley, M.A., Fisheries, Wildlife and Conservation Biology Program, Department of Forestry and Environmental Resources, North Carolina State University, 110 Brooks Avenue, Raleigh, NC  27607, United States; Chitwood, M.C., Fisheries, Wildlife and Conservation Biology Program, Department of Forestry and Environmental Resources, North Carolina State University, 110 Brooks Avenue, Raleigh, NC  27607, United States; Kays, R., Fisheries, Wildlife and Conservation Biology Program, Department of Forestry and Environmental Resources, North Carolina State University, 110 Brooks Avenue, Raleigh, NC  27607, United States, North Carolina Museum of Natural Sciences, 11 West Jones Street, Raleigh, NC  27601, United States; Harper, C.A., Department of Forestry, Wildlife and Fisheries, University of Tennessee, 2431 Joe Johnson Drive, Knoxville, TN  37996, United States; DePerno, C.S., Fisheries, Wildlife and Conservation Biology Program, Department of Forestry and Environmental Resources, North Carolina State University, 110 Brooks Avenue, Raleigh, NC  27607, United States; Moorman, C.E., Fisheries, Wildlife and Conservation Biology Program, Department of Forestry and Environmental Resources, North Carolina State University, 110 Brooks Avenue, Raleigh, NC  27607, United States","Prescribed fire commonly is used to manage habitat for white-tailed deer (. Odocoileus virginianus). Although the effects of fire on forage availability for deer have been studied, how female deer use burned areas is not well known, particularly as it relates to fire season and the years-since-fire. We used GPS tracking data from 16 adult female white-tailed deer to assess the effects of fire season and years-since-fire on habitat use during summer lactation. Females selected unburned drainages and older (>1. yr-since-fire) burned areas, and avoided recently burned areas. Individuals with a greater percentage of their summer core area burned expanded the size of their summer home range but did not change summer core area size. Furthermore, summer core area site fidelity (i.e., % overlap between 2011 and 2012 core areas) decreased as the percentage of the 2011 summer core area burned in 2012 increased. Female deer increased selection of burned areas as years-since-fire increased, likely because there was a temporary loss of cover immediately following fire with plants slowly regenerating the subsequent growing seasons. Likewise, to avoid areas depleted of cover, females shifted their core areas away from recent burns when possible but increased their core area size when burned areas were unavoidable (i.e., a large portion of their home range was burned). Burning large contiguous areas may initially have a negative effect on female deer during lactation because of the depletion of cover. © 2015 Elsevier B.V.","Compositional analysis; Cover; Fire-return interval; Longleaf pine; Odocoileus virginianus; Pinus palustris",Article,,Scopus,2-s2.0-84928232750
"Hutto R.L., Bond M.L., DellaSala D.A.","6603948267;7202608779;6602585045;","Using Bird Ecology to Learn About the Benefits of Severe Fire",2015,"The Ecological Importance of Mixed-Severity Fires: Nature's Phoenix",,,,"55","88",,4,"10.1016/B978-0-12-802749-3.00003-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940042425&doi=10.1016%2fB978-0-12-802749-3.00003-7&partnerID=40&md5=a7ac861b5edf09e8f5ab2f9ac0be6abc","Division of Biological Sciences, University of Montana, Missoula, MT, United States; Wild Nature Institute, Hanover, NH, United States; Geos Institute, Ashland, OR, United States","Hutto, R.L., Division of Biological Sciences, University of Montana, Missoula, MT, United States; Bond, M.L., Wild Nature Institute, Hanover, NH, United States; DellaSala, D.A., Geos Institute, Ashland, OR, United States","Important lessons emerge from studies of birds in ecosystems born of, and maintained by, mixed- to high-severity fire. Specifically, (1) the effect of fire on any one species is context dependent. It depends on the time since the fire, the fire severity, and vegetation type and condition. (2) Bird species respond differently to any given postfire condition and, given an appropriate time since the fire and postfire vegetation conditions, most benefit from severe fire. (3) Some bird species (the black-backed woodpecker being iconic) seem to depend on conditions created by severe fire, as evidenced by their distribution patterns, territory sizes, nest success, and other adaptations. (4) Given these facts, current management practices designed to prevent fire, suppress fire, mitigate fire severity, ""restore"" or ""rehabilitate"" burned forests after fire, and mimic the effects of severe fire are incompatible with the maintenance of bird populations and, therefore, ecosystem integrity. © 2015 by Dominick A. DellaSala and Chad T. Hanson. Published by Elsevier Inc. All rights reserved.","Adaptation; Bird; Disturbance; Fire severity; Forest restoration; Salvage logging; Severe fire",Book Chapter,,Scopus,2-s2.0-84940042425
"Kulakowski D., Veblen T.T.","6603273132;7005710296;","Bark Beetles and High-Severity Fires in Rocky Mountain Subalpine Forests",2015,"The Ecological Importance of Mixed-Severity Fires: Nature's Phoenix",,,,"149","174",,5,"10.1016/B978-0-12-802749-3.00006-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940041038&doi=10.1016%2fB978-0-12-802749-3.00006-2&partnerID=40&md5=105303abe167ee8c62f1904ebcb6891a","Graduate School of Geography, Clark University, Worcester, MA, United States; Department of Geography, University of Colorado-Boulder, Boulder, CO, United States","Kulakowski, D., Graduate School of Geography, Clark University, Worcester, MA, United States; Veblen, T.T., Department of Geography, University of Colorado-Boulder, Boulder, CO, United States","The dynamics, structure, and landscape heterogeneity of the lodgepole pine and spruce-fir forests of the Rocky Mountains in the western United States are shaped by wildfires, outbreaks of insects, and the potential interactions between these disturbances. Outbreaks of bark beetles create habitat heterogeneity in forests that can benefit numerous wildlife species. While important questions remain, the best available science indicates that outbreaks of bark beetles do not increase the risk of high-severity fires in lodgepole pine and spruce-fir forests of the Rocky Mountains. Furthermore, the effects of outbreaks are much less important to fire risk than are weather and climate. By contrast, severe wildfires can reduce subsequent susceptibility to outbreaks in both forest types, although the modulating effect of fires on susceptibility to outbreaks may be contingent on current and future climate influences on beetle populations and tree resistances. The current state of knowledge does not support the common assumption that increases in bark beetle activity have resulted in increased wildfire activity. Therefore policy discussions should focus on societal adaptation to the effects of the underlying driving factor of increased tree mortality from insects and from burning: climate warming. © 2015 by Dominick A. DellaSala and Chad T. Hanson. Published by Elsevier Inc. All rights reserved.","Compounded disturbances; Dendroctonus ponderosae; Dendroctonus rufipennis; Disturbance interactions; Engelmann spruce; Linked disturbances; Lodgepole pine; Mountain pine beetle; Picea engelmannii; Pinus contorta; Spruce beetle",Book Chapter,,Scopus,2-s2.0-84940041038
"DellaSala D.A., Lindenmayer D.B., Hanson C.T., Furnish J.","6602585045;35510108300;12771955500;56800761400;","In the Aftermath of Fire: Logging and Related Actions Degrade Mixed- and High-Severity Burn Areas",2015,"The Ecological Importance of Mixed-Severity Fires: Nature's Phoenix",,,,"313","347",,6,"10.1016/B978-0-12-802749-3.00011-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940024802&doi=10.1016%2fB978-0-12-802749-3.00011-6&partnerID=40&md5=876a7bc344354b12a13d7636516445bc","Geos Institute, Ashland, OR, United States; Fenner School of Environment and Society, The Australian National UniversityACT, Australia; John Muir Project of Earth Island Institute, Berkeley, CA, United States; Consulting Forester, Rockville, MD, United States","DellaSala, D.A., Geos Institute, Ashland, OR, United States; Lindenmayer, D.B., Fenner School of Environment and Society, The Australian National UniversityACT, Australia; Hanson, C.T., John Muir Project of Earth Island Institute, Berkeley, CA, United States; Furnish, J., Consulting Forester, Rockville, MD, United States","Postfire management most often includes extensiver removal of biological legacies (e.g., snags and native shrubs) and replacing them with commercially valuable trees, as well as engaging in road building and road maintenance, seeding with nonnative plants for erosion abatement, and other ecosystem damaging actions uses. Taken individually or in combination, these activities disrupt postfire processes and inhibit the development and longevity of complex early seral forests. Postfire logging impacts that have been documented across taxa and regions typically include soil compaction; aquatic and terrestrial habitat degradation, particularly for rare and imperiled species; the spread of invasives; increased fine fuels; and natural tree seedling mortality, among others. Context and scale matter when postfire management actions are planned over large landscapes. We present recommendations for protecting high-value conservation areas and minimizing the postfire logging footprint based on four case studies: (1) the Biscuit Fire area of southwest Oregon; (2) the Rim Fire area of the Sierra region in central California; (3) the montane ash-eucalypt forests of Victoria, Australia; and (4) the conifer forests in the Black Hills of South Dakota. © 2015 by Dominick A. DellaSala and Chad T. Hanson. Published by Elsevier Inc. All rights reserved.","Biscuit Fire; Black Hills; Ecological screens; Postfire logging; Rim Fire; Salvage logging; Victoria fire",Book Chapter,,Scopus,2-s2.0-84940024802
"Bond M.L.","7202608779;","Mammals and Mixed- and High-severity Fire",2015,"The Ecological Importance of Mixed-Severity Fires: Nature's Phoenix",,,,"89","117",,1,"10.1016/B978-0-12-802749-3.00004-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940069459&doi=10.1016%2fB978-0-12-802749-3.00004-9&partnerID=40&md5=12911be74a2db85ff78413f7a37ef918","Wild Nature Institute, Hanover, NH, United States","Bond, M.L., Wild Nature Institute, Hanover, NH, United States","Effects of mixed and severe fire on mammals vary spatially and temporally, by habitat type, and by species. Tree voles, masked shrews and some mice decrease, at least temporarily, after severe forest fire, but most bats and ungulates and many small mammals-especially deer mice and kangaroo rats-are strongly attracted to severely burned habitats due to novel foraging opportunities. In heavily burned forests, more insect prey is available for bats, and seeds and sprouting plants feed small mammals. Vegetation re-growth after intense fire produces highly palatable browse for elk, mule deer, and bighorn sheep. Standing dead trees provide cover for deer in severely burned forests, whereas bighorn sheep can more easily perceive predators in heavily burned chaparral. Mesocarnivores, including foxes, martens, and fishers, often are detected in forests that burned intensely. Unburned refugia within larger severe burns, and the time-since-fire, are especially important factors for recolonization by small mammals. © 2015 by Dominick A. DellaSala and Chad T. Hanson. Published by Elsevier Inc. All rights reserved.","Bat; Carnivore; Forage; Lagomorph; Mammal; Rodent; Severe fire; Ungulate",Book Chapter,,Scopus,2-s2.0-84940069459
