PT	UT	AN	PM	DT	LT	TI	FT	AU	CA	BA	BE	PN	AE	DG	PC	PL	SO	SE	PY	PD	VL	IS	PS	BP	EP	LA	ME	CT	CL	CY	SP	U1	U2	AB	C1	EM	RI	OI	PU	PA	SC	SN	EI	DI	BN	MC	CC	TA	DS	CH	GN	SD	GE	TM	MQ	PR	MI	OA	HC	HP	DA
J	BIOSIS:PREV201900030713	PREV201900030713		Article		Bird Functional Traits Respond to Forest Structure in Riparian Areas Undergoing Active Restoration		Batisteli, Augusto F. (augustofb@gmail.com) ; Tanaka, Marcel O. (marcel@ufscar.br) ; Souza, Andrea L. T. (altdesouza@gmail.com)									Diversity-Basel		2018	SEP 2018	10	3	Article No.: 90	90		English						2	2	Monitoring wildlife responses is essential to assess restoration projects. Birds are widely used as bioindicators of ecosystem restoration, but most studies use only taxonomic descriptors to compare categories of reference and restoring sites. Here, we used forest structure as a continuous predictor variable to evaluate avifaunal taxonomic and functional indicators in riparian forest reference and restoration sites on southeastern Brazil. Reference sites were riparian forest remnants, and restoration sites were pasture before seedling reintroduction. Forest structure variables (mean tree height, canopy depth, mean diameter at breast height, basal area, tree layering, tree density, and grass cover) were reduced into two axes using a Principal Component Analysis (PCA), Forest Axis 1 (tree biomass vs. grass cover) and Forest Axis 2 (canopy depth vs. tree density). Bird species were classified in relation to five functional categories (i.e., diet, foraging stratum, nest height, cavity dependence for nesting, and forest dependence). Forest Axis 1 influenced the functional diversity of bird assemblages and the relative abundance within levels of each functional category (except for nest height). The relative abundance of all functional categories combined was also affected by Forest Axis 2. Therefore, forest structure affected the predominant functional traits of bird species in riparian sites under restoration. Sites with higher tree biomass were the richest, with canopy birds that were insectivores and frugivores of high forest dependence, whereas more open sites were associated with birds of low forest dependence and ground-foraging insectivores. Forest structures of similar-aged sites were strongly variable, due to natural and anthropic disturbances, so restoration age was a poor indicator of forest development. These unpredictable disturbances can change the development of sites under restoration, so that forest structure can be a better descriptor of the trajectory of these ecosystems.	Batisteli, Augusto F.; Univ Fed Sao Carlos, Grad Program Environm Sci, Rod Washington Luiz Km 235, BR-13565905 Sao Carlos, SP, Brazil			Batisteli, Augusto/0000-0003-4866-487X			Biodiversity & Conservation; Forestry	1424-2818	1424-2818	10.3390/d10030090		Conservation; Forestry; Biodiversity	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 53500, Forestry and forest products								principal component analysis; mathematical and computer techniques		biomass; species richness; functional diversity; riparian forest; forest dependence; functional trait; bird abundance	DOAJ Gold			2019-04-10	
J	BIOSIS:PREV201800796061	PREV201800796061	29782655	Article		Cross-scale occupancy dynamics of a postfire specialist in response to variation across a fire regime		Tingley, Morgan W. (morgan.tingley@uconn.edu) ; Stillman, Andrew N.; Wilkerson, Robert L.; Howell, Christine A.; Sawyer, Sarah C.; Siegel, Rodney B.									Journal of Animal Ecology		2018	SEP 2018	87	5	1484-1496	1484	1496	English						15	15	Fire creates challenges and opportunities for wildlife through rapid destruction, modification and creation of habitat. Fire has spatially variable effects on landscapes; however, for species that benefit from the ephemeral resource patches created by fire, it is critical to understand characteristics of fires that promote postfire colonization and persistence and the spatial scales on which they operate. Using a model postfire specialist, the black-backed woodpecker (Picoides arcticus), we examined how colonization and persistence varied across two spatial scales as a function of four characteristics of fire regimesfire severity, fire size, fire ignition date and number of years since fire. We modelled black-backed woodpecker colonization and persistence using data from 108 recently burned forests in the Sierra Nevada and southern Cascades ecoregions of California, USA, that we monitored for up to 10years following fire. We employed a novel, spatially hierarchical, dynamic occupancy framework which differentiates colonization and persistence at two spatial scales: across fires and within fires. We found strong effects of fire characteristics on dynamic rates, with colonization and persistence declining across both spatial scales with increasing years since fire. Additionally, at sites within fires, colonization decreased with fire size and increased with fire severity and for fires with later ignition dates. Our results support the notion that different aspects of a species' environment are important for population processes at different spatial scales. As habitat quality is ephemeral for any given postfire area, our results illustrate the importance of time since fire in structuring occupancy at the fire level, with other characteristics of fires playing larger roles in determining abundance within individual fires. Our results contribute to the broader understanding of how variation in fire characteristics influences the colonization and persistence of species using ephemeral habitats, which is necessary for conserving and promoting postfire biodiversity in the context of rapidly shifting fire regimes.	Tingley, Morgan W.; Univ Connecticut, Ecol and Evolutionary Biol, 75 N Eagleville Rd,Unit 3043, Storrs, CT 06269 USA			Stillman, Andrew/0000-0001-6692-380X; Tingley, Morgan/0000-0002-1477-2218			Life Sciences & Biomedicine - Other Topics; Biodiversity & Conservation	0021-8790	1365-2656	10.1111/1365-2656.12851		Biogeography (Population Studies); Wildlife Management (Conservation); Biodiversity	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 07518, Ecology: environmental biology - Wildlife management: terrestrial; 62800, Animal distribution	Animalia; Animals; Animalia [33000]; [wildlife]/Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Piciformes [85552]; [Picoides arcticus; black-backed woodpecker]					California; USA, North America; Nearctic region/Sierra Nevada; USA, North America; Nearctic region		dynamic occupancy model; mathematical and computer techniques		species diversity; species distribution				2019-04-10	
J	BIOSIS:PREV201800768477	PREV201800768477		Article		Songbird nest success is positively related to restoration of pine-oak savanna and woodland in the Ozark Highlands, Missouri, USA		Roach, Melissa C. (roach.mc1@gmail.com) ; Thompson, Frank R., III; Jones-Farrand, Todd									Condor		2018	AUG 2018	120	3	543-556	543	556	English						8	9	Savanna and woodland are transitional vegetation communities that have largely disappeared while many early-successional bird species have simultaneously declined in abundance. Pine savanna and woodland are being restored in the Midwest through prescribed fire and tree thinning to create their characteristic open canopy, dense ground layer, and variable shrub cover. Ideally, these restoration strategies for vegetation should also facilitate bird conservation objectives. We determined daily nest survival (DSR) for 6 songbird species, representing both shrub-nesting and canopy-nesting species, in southern Missouri, USA, in 2014 and 2015. We evaluated support for hypotheses relating temporal, vegetation, and management factors to DSR. We predicted that nest survival of the 3 shrub-nesting species (Eastern Towhee [Pipilo erythrophthalmus], Yellow-breasted Chat [lcteria virens], and Prairie Warbler [Setophaga discolor]) would show positive relationships with thinning and fire, but only Yellow-breasted Chat DSR was positively related to tree thinning. However, pooling species into a shrub-nesting guild resulted in a positive relationship of nest survival with tree thinning and a weak relationship with fire. For canopy-nesters, Eastern Wood-Pewee (Contopus virens) and Summer Tanager (Piranga rubra) DSR was negatively related to mean canopy cover, and Pine Warbler (Setophaga pinus) DSR was weakly related to tree density by size class. The canopy-nesting guild had higher DSR in thinned areas with lower basal area and less canopy cover. Our results demonstrate that pine savanna-woodland restoration in Missouri is providing high-quality breeding habitat for both shrub-nesting and canopy-nesting species, some of which are species of conservation concern.	Roach, Melissa C.; Univ Missouri, Sch Nat Resources, Columbia, MO 65211 USA						Behavioral Sciences; Life Sciences & Biomedicine - Other Topics; Biodiversity & Conservation	0010-5422	1938-5129	10.1650/CONDOR-17-189.1		Behavior; Biogeography (Population Studies); Biodiversity; Wildlife Management (Conservation)	00512, General biology - Conservation and resource management; 07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior; 07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 07508, Ecology: environmental biology - Animal; 07518, Ecology: environmental biology - Wildlife management: terrestrial; 50528, Botany: general and systematic - Floristics and distribution; 62800, Animal distribution	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [songbird] [Piranga rubra; summer tanager; (protected species)] [Setophaga discolor; prairie warbler; (protected species)]/Plantae; Plants, Spermatophytes, Vascular Plants; Spermatophyta [25000]; [shrub; (protected species)]					Missouri; USA, North America; Nearctic region/Ozark Highland; USA, North America; Nearctic region				species abundance; species conservation; vegetation community				2019-04-10	
J	BIOSIS:PREV201800768487	PREV201800768487		Article		Foraging ecology of the Williamson's Sapsucker: Implications for forest management		St-Amand, Julien (julien.st-amand@alumni.ubc.ca) ; Tremblay, Junior A.; Martin, Kathy									Condor		2018	AUG 2018	120	3	680-702	680	702	English						11	11	Williamson's Sapsuckers (Sphyrapicus thyroideus) are montane woodpeckers threatened by widespread tree removal activities and climate change. Current forest management plans focus on nesting trees, but the incorporation of foraging trees would lead to a more effective management strategy to mitigate habitat loss for this species. We investigated the selection of foraging trees in forests managed for timber extraction and maintenance of wildlife values using foraging observations of 27 radio-tagged adult Williamson's Sapsuckers during the breeding season in 2 regions (Okanagan and Western) of their limited Canadian range. Characteristics of foraging trees (88% of observations on live trees, 11% on dead trees) differed with foraging mode. Large, live Douglas-firs (Pseudotsuga menziesii; >= 22.5 cm dbh) were used for gleaning and sap feeding on tree trunks in both regions, whereas trees used for trunk pecking were mostly large, senescent western larches (Larix occidentalis) in the Okanagan region and large, dead ponderosa pines (Pinus ponderosa) in the Western region (average dbh = 46 cm). For overall foraging activities, Williamson's Sapsuckers selected large, live Douglas-firs with signs of resin exudation and blistering (pitching), and avoided live lodgepole pines (Pinus contorta), quaking aspens (Populus tremuloides), and ponderosa pines. Larger trees and standing dead conifer trees were reused more often for foraging than smaller and live trees. The quality of Williamson's Sapsucker habitat could decrease over the long term if forest management practices reduce the overall size of trees or alter tree species composition to promote lodgepole pine. Forest management should focus on retaining and promoting large live Douglas-fir trees and large senescent or standing dead conifers (also used for nesting), which can be achieved by using thinning, prescribed fire, partial harvesting, and tree retention strategies.	St-Amand, Julien; Univ British Columbia, Dept Forest and Conservat Sci, Vancouver, BC, Canada						Life Sciences & Biomedicine - Other Topics; Biodiversity & Conservation	0010-5422	1938-5129	10.1650/CONDOR-17-238.1		Biogeography (Population Studies); Biodiversity; Wildlife Management (Conservation)	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 50528, Botany: general and systematic - Floristics and distribution	Gymnospermae, Spermatophyta, Plantae; Gymnosperms, Plants, Spermatophytes, Vascular Plants; Coniferopsida [25102]; [Pinus ponderosa] [Pinus contorta] [Pseudotsuga menziesii; Douglas-fir; (protected species)]					Canada; North America; Nearctic region		telemetry; applied and field techniques		forest management; species habitat; climate change				2019-04-10	
J	BIOSIS:PREV201800687499	PREV201800687499		Article		Rewilding cultural landscape potentially puts both endemism at risk: A Tibetan Plateau case study		Li, Li (li.li@wildlife.uni-freiburg.de) ; Tietze, Dieter Thomas; Fritz, Andreas; Lu, Zhi; Burgi, Matthias; Storch, Ilse									Biological Conservation		2018	AUG 2018	224		75-86	75	86	English						25	35	Ecological restoration is becoming a primary strategy to increase provisions of ecosystem services and reverse biodiversity losses. In cultural landscapes undergoing land use extensification, rewilding has been proposed as a viable approach to reverse biodiversity loss through reducing human impacts. The world's largest ecological restoration campaign is taking place on the eastern Qinghai-Tibetan Plateau (QTP) to combat grassland degradation and enhance the upper stream region's water retention capacity. However, little is known about whether the large-scale rewilding also benefits the unique bird assemblage of the eastern QTP. Our study aims to make science-based conservation recommendations for the Tibetan avifauna by detecting their diversity and endemism distribution patterns at the local scale. In the breeding seasons of 2014 and 2015, we carried out bird surveys and conducted a habitat mapping using three Unmanned Aerial Vehicles (UAVs). We developed a comprehensive set of 2D and 3D habitat feature parameters from the high-resolution (10 cm level) UAV-derived images. Meanwhile, we employed the participatory GIS approach to acquire farm-scale human land-use data. Our results indicate that the distributions of avian diversity, endemism and abundance are not congruent across the eastern QTP, which calls for the conservation of different habitat types. Vertical and horizontal habitat heterogeneity maintain the local bird diversity with anthropogenic elements significantly enriching the overall bird abundance. Degraded pastures provided key habitats for two highly abundant endemic passerines the White-rumped Snowfinch Ortychosmuthus taczanowskii and the Ground Tit Pseudopodoces humilis. At the landscape scale, historical human-nature interactions between Tibetan nomads and the alpine environment formed the landscapes patchy vegetation structure. Our results reveal that the Tibetan cultural landscape maintains the structural heterogeneity needed to achieve multiple bird conservation objectives on the eastern QTP. Restoring the cultural landscape to a 'natural' tall-grass or dense-shrubland state of high water-retention capacity may result in the loss of both high-abundance avian communities and endemic species diversity. Our empirical study also indicated that rewilding abandoned agricultural landscape will not necessarily lead to a desired conservation outcome, especially when the requirements of habitat specialists and endemics are not taken into account. Moreover, ecological restoration projects should evaluate the divergences between their ecosystem service and biodiversity objectives.	Li, Li; Univ Freiburg, Wildlife Ecol and Management, D-79106 Freiburg, Germany		Burgi, Matthias/C-8357-2009; Tietze, Dieter Thomas/A-1366-2011; Storch, Ilse/G-6328-2012	Burgi, Matthias/0000-0001-9681-601X; Tietze, Dieter Thomas/0000-0001-6868-227X;			Life Sciences & Biomedicine - Other Topics; Biodiversity & Conservation	0006-3207	1873-2917	10.1016/j.biocon.2018.05.008		Biogeography (Population Studies); Biodiversity; Wildlife Management (Conservation)	05500, Social biology and human ecology; 07502, Ecology: environmental biology - General and methods	Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Humans, Mammals, Primates, Vertebrates; Hominidae [86215]; [human]					Qinghai-Tibetan Plateau; China, Asia; Palearctic region				species diversity; species abundance; biodiversity; habitat type; vegetation structure; cultural landscape; ecological restoration; ecosystem service; avian diversity				2019-04-10	
J	BIOSIS:PREV201800719120	PREV201800719120		Article		Black-backed woodpecker abundance in the black hills		Matseur, Elizabeth A. (eamatseur@mail.missouri.edu) ; Thompson, Frank R., III; Dickerson, Brian E.; Rumble, Mark A.; Millspaugh, Joshua J.									Journal of Wildlife Management		2018	JUL 2018	82	5	1039-1048	1039	1048	English						3	3	The Black Hills population of black-backed woodpeckers (Picoides arcticus) was petitioned, but deemed not warranted, to be listed as a threatened or endangered species under the Endangered Species Act and more information on their population size in the region is needed. Our objective was to map abundance and provide a population estimate of black-backed woodpeckers in the Black Hills and Bear Lodge Mountains of South Dakota and Wyoming, USA. We conducted 3,666 and 3,384 5-minute point count surveys from late-March to late-June in 2015 and 2016, respectively. We characterized vegetation around each point using geographic information system-derived landscape variables and fit 3-level hierarchical time-removal models in R package unmarked using gmultmix. The global abundance model received the most support and included year, latitude, and percent area of green trees, beetle-killed trees, dead trees, 1- to 2-year-old wildfire, 3-year-old wildfire, and 4- to 5-year-old wildfire. Points with high percent cover of beetle-killed trees had the greatest density of black-backed woodpeckers, followed by 1- to 2-year-old wildfires. After 4 years, areas burned by wildfire supported lower densities of black-backed woodpeckers than undisturbed forests. Mean density was 0.528birds/km(2) in 2015 and 0.626birds/km(2) in 2016. There were an estimated 2,920 and 3,439 black-backed woodpeckers in the Black Hills and Bear Lodge Mountains in 2015 and 2016, respectively. We suggest areas with high percent cover of beetle-killed trees may support high densities of black-backed woodpeckers and are important to sustaining populations when the availability of recent (<4 years old) wildfire is declining or scarce. Published 2018. This article is a U.S. Government work and is in the public domain in the USA.We suggest areas with high percent cover of beetle-killed trees may support high densities of black-backed woodpeckers in the Black Hills and Bear Lodge Mountains, South Dakota and Wyoming, 2015-2016, USA. Beetle-killed trees are important to sustaining black-backed woodpecker populations when the availability of recent (<4 years old) wildfire is declining or scarce.	Matseur, Elizabeth A.; Univ Missouri, Sch Nat Resources, 302 Nat Resources Bldg, Columbia, MO 65211 USA						Environmental Sciences & Ecology; Biodiversity & Conservation	0022-541X	1937-2817	10.1002/jwmg.21450		Terrestrial Ecology (Ecology, Environmental Sciences); Biodiversity	07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 64076, Invertebrata: comparative, experimental morphology, physiology and pathology - Insecta: physiology	Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Aves [85500]; [bird]/Insecta, Arthropoda, Invertebrata, Animalia; Animals, Arthropods, Insects, Invertebrates; Coleoptera [75304]; [mountain pine beetle]/Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Piciformes [85552]; [woodpecker] [Picoides arcticus; black-backed woodpecker]					Black Hills; Wyoming, USA, North America; Nearctic region/Bear Lodge Mountain; Wyoming, USA, North America; Nearctic region		model-based analysis; mathematical and computer techniques/R package; computer software/survey method; applied and field techniques		species abundance				2019-04-10	
J	BIOSIS:PREV201800696905	PREV201800696905		Article		Chaparral bird community responses to prescribed fire and shrub removal in three management seasons		Newman, Erica A. (newmane@berkeley.edu) ; Potts, Jennifer B.; Tingley, Morgan W.; Vaughn, Charles; Stephens, Scott L.									Journal of Applied Ecology		2018	JUL 2018	55	4	1615-1625	1615	1625	English						41	47	1. Chaparral, a type of shrubland common throughout the California Floristic Province, is subject to management and removal in regions where wildfire threatens human lives and property. Management practices include conducting prescribed burns outside of the historical fire season and employing mechanical fuel reduction (mastication). As the wildland-urban interface grows, particularly in coastal California, more of this ecosystem is subject to active management.2. To understand the ecological implications of current California chaparral fire management practices, we studied bird species composition, abundance and foraging guilds in managed and unmanaged chaparral over 5 years. Study areas were located in Mendocino County in the coast ranges of northern California. We contrast six chaparral removal or "fuels manipulation" treatments: (1) fall fire, (2) winter fire, (3) spring fire, (4) fall mastication, (5) spring mastication and (6) untreated control. Treatments and controls were implemented in plots 2 ha or larger, and replicated four times each.3. We find that species richness in prescribed fire treatments reaches comparable levels to controls in the first 3 years following treatment, whereas masticated units always have lower species richness. Generalized linear mixed models additionally confirm that mastication has highly negative effects on observed abundances of birds compared to controls and to prescribed fire.4. The season in which fuels reduction occurred was less important to species richness, although fall fire was more beneficial to bird abundance than spring or winter fire. Fire treatments in all seasons maintain the same general bird community structure as controls, while mastication results in strongly differentiated assemblages, increasing granivores while nearly excluding foliage gleaners.5. Synthesis and applications. We compare two California chaparral management techniques, prescribed fire and mastication, in three seasons (fall, winter and spring) in northern California, USA. We tracked chaparral bird community response in 23 experimental units for 2-5 years. We conclude that prescribed fire and mastication are not interchangeable management techniques, and that mastication negatively impacts bird communities, altering guild structure and reducing both diversity and abundance.	Newman, Erica A.; Univ Calif Berkeley, Dept Environm Sci Policy and Management, Berkeley, CA 94720 USA			Newman, Erica/0000-0001-6433-8594; Tingley, Morgan/0000-0002-1477-2218			Mathematical & Computational Biology; Biodiversity & Conservation	0021-8901	1365-2664	10.1111/1365-2664.13099		Models and Simulations (Computational Biology); Biodiversity; Wildlife Management (Conservation)	00512, General biology - Conservation and resource management; 04500, Mathematical biology and statistical methods; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 07518, Ecology: environmental biology - Wildlife management: terrestrial; 10515, Biophysics - Biocybernetics	Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Aves [85500]; [bird; (protected species)]					Mendocino County; California, USA, North America; Nearctic region/California Floristic Province; California, USA, North America; Nearctic region/Chaparral; California, USA, North America; Nearctic region		generalized linear mixed model; mathematical and computer techniques		species richness; species diversity; spring fire; winter fire; wildfire threat; fall mastication; spring mastication; fall fire				2019-04-10	
J	BIOSIS:PREV201800696906	PREV201800696906		Article		From unburnt to salvage logged: Quantifying bird responses to different levels of disturbance severity		Lindenmayer, David B. (david.lindenmayer@anu.edu.au.au) ; McBurney, Lachlan; Blair, David; Wood, Jeff; Banks, Sam C.									Journal of Applied Ecology		2018	JUL 2018	55	4	1626-1636	1626	1636	English						8	18	1. Forests world-wide are increasingly subject to natural and human disturbances, including wildfires and logging of varying intensity and frequency. Understanding how biodiversity responds to different kinds and combinations of natural and human disturbance is critical to enhanced forest management.2. We completed an 8-year study of bird responses across a spectrum of disturbance types in Australian mountain ash (Eucalyptus regnans) forests following wildfires in 2009.3. We found evidence of a gradient in bird species richness over the study duration. It was highest in unlogged and unburned (least disturbed) sites, decreasing through burnt unlogged forest (subject to high or low intensity fire), lower still in logged forest, and lowest in the most disturbed sites (subject to salvage logging without island retention). Retention of uncut islands within logged areas increased bird species richness above that found in areas that had been clearcut.4. The greatest rate of increase per year after disturbance in bird species richness was on sites burnt by high-severity fire but which were not subject to any form of logging. The level of disturbance affected the composition of the bird assemblage. Sites that were unlogged and unburned were more likely to support species that were larger, more mobile, and nested at greater heights above the ground.5. Synthesis and applications. All forms of logging on burned sites impaired recovery in bird species richness relative to sites subject to high-severity fire. Alterations in stand structure and plant species composition (and hence modification in bird habitat suitability) due to logging are the most likely reasons for reduced bird species richness and delayed patterns of recovery. This study highlights the importance for native bird species of retaining patches of unlogged forest not only within otherwise clearcut forest, but also in areas that are burned and subject to salvage logging. We therefore suggest that the adoption of retention harvesting be expanded to include stands disturbed by wildfires.	Lindenmayer, David B.; Australian Natl Univ, Fenner Sch Environm and Soc, Canberra, ACT, Australia			/0000-0003-2415-0057			Anthropology; Biodiversity & Conservation	0021-8901	1365-2664	10.1111/1365-2664.13137		Human Ecology (Anthropology); Biodiversity; Wildlife Management (Conservation)	00512, General biology - Conservation and resource management; 05500, Social biology and human ecology; 07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 07508, Ecology: environmental biology - Animal; 07518, Ecology: environmental biology - Wildlife management: terrestrial	Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Aves [85500]; [bird; (protected species)]/Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Humans, Mammals, Primates, Vertebrates; Hominidae [86215]; [human]/Dicotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Dicots, Plants, Spermatophytes, Vascular Plants; Myrtaceae [26430]; [Eucalyptus regnans; mountain ash]					Central Highlands of victoria; Australia; Australasian region				species richness; biodiversity; anthropogenic disturbance; salvage logging; wildfire threat; unburnt species				2019-04-10	
J	BIOSIS:PREV201800683033	PREV201800683033		Article		Are we restoring enough? Simulating impacts of restoration efforts on the suitability of forest landscapes for a locally critically endangered umbrella species		Hof, Anouschka R. (anouschka.hof@gmail.com) ; Hjalten, Joakim									Restoration Ecology		2018	JUL 2018	26	4	740-750	740	750	English						10	11	Habitat restoration is often implemented to mitigate the negative effects of intensive forestry on biodiversity. It may be increasingly adopted in future to alleviate additional negative effects of climate change. Ascertaining the restoration effort needed to fulfill project goals is difficult. Insights may be gained through simulating the effects of restoration efforts on landscape dynamics through time. Here we used a spatially explicit landscape simulation model to simulate the effects of different restoration efforts on forest landscapes in Sweden to assess the level of mitigation that is needed to allow viable populations of the locally critically endangered White-backed Woodpecker (Dendrocopos leucotos); an umbrella species whose protection may serve the protection of a range of other species. Based on the goals of the protection plan for the species, which reflect its habitat requirements, we evaluated which of several restoration scenarios could fulfill goals with respect to (1) the amount of deciduous forest; (2) the amount of dead wood; and (3) the age of the forest. We found that whereas it may be relatively easy and quick to acquire high levels of dead wood, increasing the proportions of deciduous forest and of old forests require considerably more time and effort. Also, current management actions would not be sufficient to create the required amount of habitat to conserve the White-backed Woodpecker in our study region. Simulations like ours can provide valuable information about the levels of restoration needed through time to fulfill project goals and may prevent wasting valuable resources, time, effort, and money.	Hof, Anouschka R.; Swedish Univ Agr Sci, Dept Wildlife Fish and Environm Studies, S-90183 Umea, Sweden						Biodiversity & Conservation	1061-2971	1526-100X	10.1111/rec.12628		Wildlife Management (Conservation); Conservation	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 07518, Ecology: environmental biology - Wildlife management: terrestrial; 64026, Invertebrata: comparative, experimental morphology, physiology and pathology - Mollusca	Mollusca, Invertebrata, Animalia; Animals, Invertebrates, Mollusks; Gastropoda [61200]; [Umbrella; (protected species)]/Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Piciformes [85552]; [Dendrocopos leucotos; white-backed woodpecker; (protected species)]					Sweden; Europe; Palearctic region		simulation model; mathematical and computer techniques		species diversity; restoration effort; forest landscape; intensive forestry; suitability of forest landscape				2019-04-10	
J	BIOSIS:PREV201900129981	PREV201900129981		Article		Birds of Isla Mocha National Reserve, southern Chile: Species richness, abundance and diversity	Aves de la Reserva Nacional Isla Mocha, sur de Chile: Riqueza, abundancia y diversidad de especies	Riquelme, Carlos; Hinojosa, Ana; Figueroa, Ricardo A.; Gonzalez-Acuna, Daniel (danigonz@udec.cl)									Gayana		2018	JUN 2018	82	1	40-64	40	64	Spanish						2	2	Between 2007 and 2008, we evaluated the seasonal richness, abundance and diversity of bird species in the Isla Mocha National Reserve, southern Chile. We recorded birds in point-count stations (radius = 50 m, length = 10 min) in five habitat types: coastline, pastureland, prairie with trees, forest-prairie ecotone, and Valdivian forest. We also include occasional records outside count points to determine species richness. In total, we recorded 70 species on the island. The habitat with higher species richness was the pastureland (29 species), followed by the forest-prairie ecotone, coastline (25 species, respectively), prairie with trees (21 species), and Valdivian forest (17 species). We did not detect seasonal patterns when we compared species richness among habitats. In all habitats, the abundance distribution among species showed the typical pattern of many organisms: few species were very or few abundant, and several had an intermediate abundance. However, the numerical dominance between species changed seasonally. The most regular species were Kelp Gull in the costline and pastureland, Chilean Lapwing in the pastureland, Black-chinned Siskin in the prairie with trees, Chilean Pigeon, Chucao Tapaculo and Thom-tailed Rayadito in the forest-prairie ecotone, and Chucao Tapaculo, Thom-tailed Rayadito, and Green-backed Firecrown in the Valdivian forest. All these species showed noticeable seasonal numerical fluctuations possibly caused by the recruitment of juveniles, reproductive congregation and/or variation in food availability. All habitats had a high diversity because they were rich in species and had high evenness among species regarding abundance. Avifaunally, the island Mocha represents a continental "slice" of southern Chile as the similarity in habitat diversity of this island to the mainland result in similar bird assemblages.	Gonzalez-Acuna, Daniel; Univ Concepcion, Fac Ciencias Vet, Dept Ciencia Anim, Lab Parasitos and Enfermedades Fauna Silvestre, Concepcion, Chile						Life Sciences & Biomedicine - Other Topics; Biodiversity & Conservation	0717-6538	0717-6538	10.4067/S0717-65382018000100040		Biogeography (Population Studies); Biodiversity; Wildlife Management (Conservation)	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 50528, Botany: general and systematic - Floristics and distribution	Dicotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Dicots, Plants, Spermatophytes, Vascular Plants; Elaeocarpaceae [26015]; [Aristotelia chilensis; (protected species)]/Dicotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Dicots, Plants, Spermatophytes, Vascular Plants; Monimiaceae [26390]; [Peumus boldus; (protected species)]					Oceanic Islands; Palearctic region/Isla Mocha National Reserve; Chile, South America; Neotropical region				seasonal pattern; species habitat; species diversity; species abundance; species distribution; sepcies diversity; seasonal richness	Bronze			2019-04-10	
