PT	AN	DT	TI	FT	AU	CA	SO	VL	IS	PS	PY	PD	LA	U1	U2	AB	A2	C1	RI	OI	MH	SS	ID	SD	GN	CN	NM	SF	SC	SN	JC	PA	GI	OB	SA	IV	NR	RC	NO	PE	NT	DI	UT	OA	HC	HP	DA
J	27708456	Journal Article	The importance of realistic dispersal models in conservation planning: application of a novel modelling platform to evaluate management scenarios in an Afrotropical biodiversity hotspot.		Aben, Job; Bocedi, Greta; Palmer, Stephen C F; Pellikka, Petri; Strubbe, Diederik; Hallmann, Caspar; Travis, Justin M J; Lens, Luc; Matthysen, Erik		The Journal of applied ecology	53	4	1055-1065	2016	2016 Aug (Epub 2016 Mar 31)	English	1	52	As biodiversity hotspots are often characterized by high human population densities, implementation of conservation management practices that focus only on the protection and enlargement of pristine habitats is potentially unrealistic. An alternative approach to curb species extinction risk involves improving connectivity among existing habitat patches. However, evaluation of spatially explicit management strategies is challenging, as predictive models must account for the process of dispersal, which is difficult in terms of both empirical data collection and modelling.Here, we use a novel, individual-based modelling platform that couples demographic and mechanistic dispersal models to evaluate the effectiveness of realistic management scenarios tailored to conserve forest birds in a highly fragmented biodiversity hotspot. Scenario performance is evaluated based on the spatial population dynamics of a well-studied forest bird species.The largest population increase was predicted to occur under scenarios increasing habitat area. However, the effectiveness was sensitive to spatial planning. Compared to adding one large patch to the habitat network, adding several small patches yielded mixed benefits: although overall population sizes increased, specific newly created patches acted as dispersal sinks, which compromised population persistence in some existing patches. Increasing matrix connectivity by the creation of stepping stones is likely to result in enhanced dispersal success and occupancy of smaller patches. Synthesis and applications. We show that the effectiveness of spatial management is strongly driven by patterns of individual dispersal across landscapes. For species conservation planning, we advocate the use of models that incorporate adequate realism in demography and, particularly, in dispersal behaviours.		Institute of Biological and Environmental SciencesUniversity of AberdeenZoology BuildingTillydrone AvenueAberdeenAB24 2TZUK; Evolutionary Ecology GroupDepartment of BiologyUniversity of AntwerpGroenenborgerlaan 1712020AntwerpBelgium.; Institute of Biological and Environmental Sciences University of Aberdeen Zoology Building Tillydrone Avenue Aberdeen AB24 2TZ UK.; Department of Geosciences and Geography University of Helsinki P.O. Box 64 00014 Helsinki Finland.; Evolutionary Ecology Group Department of Biology University of Antwerp Groenenborgerlaan 171 2020 Antwerp Belgium.; Institute of Water and Wetland Research Department of Experimental Plant Ecology Radboud University P. O. Box 9010 6500 GL Nijmegen The Netherlands.; Terrestrial Ecology Unit Department of Biology Ghent University K.L. Ledeganckstraat 35 9000 Ghent Belgium.	Strubbe, Diederik/J-4299-2015	Strubbe, Diederik/0000-0002-2613-4985; Aben, Job/0000-0002-9906-7410			Eastern Arc Mountains; Phyllastrephus cabanisi; RangeShifter; SEPM; connectivity; conservation planning; demography; dispersal; fragmentation; habitat network							0021-8901	0055203	England			PubMed-not-MEDLINE			 / 16 Aug 2017		31 Mar 2016			MEDLINE:27708456	Green Published			2019-04-10
J	26010526	Journal Article; Meta-Analysis; Review	Natural disturbance impacts on ecosystem services and biodiversity in temperate and boreal forests.		Thom, Dominik; Seidl, Rupert		Biological reviews of the Cambridge Philosophical Society	91	3	760-81	2016	2016 Aug (Epub 2015 May 22)	English	43	375	© 2015 The Authors. Biological Reviews published by John Wiley & Sons Ltd on behalf of Cambridge Philosophical Society.In many parts of the world forest disturbance regimes have intensified recently, and future climatic changes are expected to amplify this development further in the coming decades. These changes are increasingly challenging the main objectives of forest ecosystem management, which are to provide ecosystem services sustainably to society and maintain the biological diversity of forests. Yet a comprehensive understanding of how disturbances affect these primary goals of ecosystem management is still lacking. We conducted a global literature review on the impact of three of the most important disturbance agents (fire, wind, and bark beetles) on 13 different ecosystem services and three indicators of biodiversity in forests of the boreal, cool- and warm-temperate biomes. Our objectives were to (i) synthesize the effect of natural disturbances on a wide range of possible objectives of forest management, and (ii) investigate standardized effect sizes of disturbance for selected indicators via a quantitative meta-analysis. We screened a total of 1958 disturbance studies published between 1981 and 2013, and reviewed 478 in detail. We first investigated the overall effect of disturbances on individual ecosystem services and indicators of biodiversity by means of independence tests, and subsequently examined the effect size of disturbances on indicators of carbon storage and biodiversity by means of regression analysis. Additionally, we investigated the effect of commonly used approaches of disturbance management, i.e. salvage logging and prescribed burning. We found that disturbance impacts on ecosystem services are generally negative, an effect that was supported for all categories of ecosystem services, i.e. supporting, provisioning, regulating, and cultural services (P < 0.001). Indicators of biodiversity, i.e. species richness, habitat quality and diversity indices, on the other hand were found to be influenced positively by disturbance (P < 0.001). Our analyses thus reveal a 'disturbance paradox', documenting that disturbances can put ecosystem services at risk while simultaneously facilitating biodiversity. A detailed investigation of disturbance effect sizes on carbon storage and biodiversity further underlined these divergent effects of disturbance. While a disturbance event on average causes a decrease in total ecosystem carbon by 38.5% (standardized coefficient for stand-replacing disturbance), it on average increases overall species richness by 35.6%. Disturbance-management approaches such as salvage logging and prescribed burning were neither found significantly to mitigate negative effects on ecosystem services nor to enhance positive effects on biodiversity, and thus were not found to alleviate the disturbance paradox. Considering that climate change is expected to intensify natural disturbance regimes, our results indicate that biodiversity will generally benefit from such changes while a sustainable provisioning of ecosystem services might come increasingly under pressure. This underlines that disturbance risk and resilience require increased attention in ecosystem management in the future, and that new approaches to addressing the disturbance paradox in management are needed.		Institute of Silviculture, Department of Forest- and Soil Sciences, University of Natural Resources and Life Sciences (BOKU) Vienna, Peter-Jordan-StraSSe 82, 1190, Vienna, Austria.		Seidl, Rupert/0000-0002-3338-3402; Thom, Dominik/0000-0001-8091-6075	Animals. *Biodiversity. Coleoptera. Conservation of Natural Resources. Ecosystem. Fires. *Forests. Wind	Index Medicus	bark beetles; biodiversity; disturbance effect; disturbance paradox; ecosystem services; fire; forest management; prescribed burning; salvage logging; wind						Biodiversity & Conservation; Environmental Sciences & Ecology; Meteorology & Atmospheric Sciences (provided by Clarivate Analytics)	1469-185X	0414576	England	P 25503 / Austrian Science Fund FWF	NLM	MEDLINE			 / 28 Dec 2017 / 11 Jan 2019		22 May 2015		10.1111/brv.12193	MEDLINE:26010526	Green Published, Green Accepted			2019-04-10
J	28725390	Journal Article	Grazed wet meadows are sink habitats for the southern dunlin (Calidris alpina schinzii) due to nest trampling by cattle.		Pakanen, Veli-Matti; Aikio, Sami; Luukkonen, Aappo; Koivula, Kari		Ecology and evolution	6	20	7176-7187	2016	2016 10	English	1	10	The effect of habitat management is commonly evaluated by measuring population growth, which does not distinguish changes in reproductive success from changes in survival or the effects of immigration or emigration. Management has rarely been evaluated considering complete life cycle of the target organisms, including also possible negative impacts from management. We evaluated the effectiveness of cattle grazing in the restoration of coastal meadows as a breeding habitat for small and medium-sized ground-nesting birds by examining the size and demography of a southern dunlin (Calidris alpina schinzii) breeding population. Using a stochastic renesting model that includes within-season variation in breeding parameters, we evaluated the effect of grazing time and stocking rates on reproduction. The census data indicated that the population was stable when nest trampling was prevented, but detailed demographic models showed that the population on managed meadows was a sink that persisted by attracting immigrants. Even small reductions in reproductive success caused by trampling were detrimental to long-term viability. We suggest that the best management strategy is to postpone grazing to after the 19th of June, which is about three weeks later than what is optimal from the farmer's point of view. The differing results from the two evaluation approaches warn against planning and evaluating management only based on census population size and highlight the need to consider target-specific life history characteristics anddemography. Even though grazing management is crucial for creating and maintaining suitable habitats, we found that it was insufficient in maintaining a viable population without additional measures that increase nest success. In the presently studied case and in populations with similar breeding cycles, impacts from nest trampling can be avoided by starting grazing when about 70% of the breeding season has past.		Department of Ecology University of Oulu PO Box3000 FIN-90014 Oulu Finland.; Finnish Museum of Natural History Botany Unit University of Helsinki PO Box7 FIN-00014 Helsinki Finland.	Pakanen, Veli-Matti/L-8134-2015				conservation; dispersal; management; nest trampling; recruitment; restoration; shorebird	 / 10.5061/dryad.b2852						2045-7758	101566408	England			PubMed-not-MEDLINE			 / 16 Jul 2018		09 Sep 2016		10.1002/ece3.2369	MEDLINE:28725390	DOAJ Gold, Green Published			2019-04-10
J	27706186	Journal Article	Drivers of Bird Species Richness within Moist High-Altitude Grasslands in Eastern South Africa.		Maphisa, David H; Smit-Robinson, Hanneline; Underhill, Les G; Altwegg, Res		PloS one	11	10	e0162609	2016	2016 	English	1	24	Moist high-altitude grasslands in South Africa are renowned for high avifaunal diversity and are priority areas for conservation. Conservation management of these areas conflicts with management for other uses, such as intensive livestock agriculture, which requires annual burning and leads to heavy grazing. Recently the area has become target for water storage schemes and renewable electricity energy projects. There is therefore an urgent need to investigate environmental factors and habitat factors that affect bird species richness in order to optimise management of those areas set aside for conservation. A particularly good opportunity to study these issues arose at Ingula in the eastern South African high-altitude grasslands. An area that had been subject to intense grazing was bought by the national power utility that constructed a pumped storage scheme on part of the land and set aside the rest for bird conservation. Since the new management took over in 2005 the area has been mostly annually burned with relatively little grazing. The new management seeks scientific advice on how to maintain avian species richness of the study area. We collected bird occurrence and vegetation data along random transects between 2006 and 2010 to monitor the impact of the new management, and to study the effect of the habitat changes on bird species richness. To achieve these, we convert bird transect data to presence only data to investigate how bird species richness were related to key transect vegetation attributes under this new grassland management. First we used generalised linear mixed models, to examine changes in vegetation grass height and cover and between burned and unburned habitats. Secondly, we examined how total bird species richness varied across seasons and years. And finally we investigated which habitat vegetation attributes were correlated with species richness of a group of grassland depended bird species only. Transects that were burned showed a larger decrease in vegetation cover compared to transects that were not burned. Grass height increased over time. Bird species richness was highest in summer compared to other seasons and increased over time. Overall bird species richness increased over the three summer surveys but species richness of birds that prefer heavily grazed habitat showed little change over the three years. Changes in bird species richness were best explained by the model with grass height for combined species richness of grassland depended birds but also for birds that prefer heavy grazing when treated alone. On one hand birds that prefer moderate grazing were best explained by a null model. However, overall bird species richness was better positively correlated to grass height than grass cover or dead grass. We conclude that frequent burning alone with relatively reduced grazing led to higher but less dense grass, which benefited some species and disadvantaged others. We suggest that management of this grassland use combination of fire and grazing and leave some areas unburned to accommodates birds of various habitat needs.		South African National Biodiversity Institute, Private Bag X7, Claremont 7735, South Africa.; Statistics in Ecology, Environment and Conservation, Department of Statistical Sciences University of Cape Town, Rondebosch 7701, South Africa.; Animal Demography Unit, Department of Biological Sciences, University of Cape Town, Rondebosch 7701, South Africa.; BirdLife South Africa, Private Bag X5000 Parklands, 2121, South Africa.; Applied Behavioural Ecological & Ecosystem Research Unit (ABEERU), UNISA, Private Bag X6, Florida, 1717, South Africa.; African Climate and Development Initiative, University of Cape Town, Rondebosch 7701, South Africa.		Underhill, Les/0000-0002-8758-1527	Altitude. Animals. Biodiversity. Birds / *physiology. Conservation of Natural Resources. *Grassland. Models, Theoretical. Population Dynamics. Seasons. South Africa	Index Medicus							Environmental Sciences & Ecology; Biodiversity & Conservation; Zoology (provided by Clarivate Analytics)	1932-6203	101285081	United States			MEDLINE			 / 20 Jun 2017 / 12 Feb 2019		05 Oct 2016		10.1371/journal.pone.0162609	MEDLINE:27706186	DOAJ Gold, Green Published			2019-04-10
J	25163611	Journal Article; Research Support, Non-U.S. Gov't	Optimal fire histories for biodiversity conservation.		Kelly, Luke T; Bennett, Andrew F; Clarke, Michael F; McCarthy, Michael A		Conservation biology : the journal of the Society for Conservation Biology	29	2	473-81	2015	2015 Apr (Epub 2014 Aug 28)	English	5	112	© 2014 Society for Conservation Biology.Fire is used as a management tool for biodiversity conservation worldwide. A common objective is to avoid population extinctions due to inappropriate fire regimes. However, in many ecosystems, it is unclear what mix of fire histories will achieve this goal. We determined the optimal fire history of a given area for biological conservation with a method that links tools from 3 fields of research: species distribution modeling, composite indices of biodiversity, and decision science. We based our case study on extensive field surveys of birds, reptiles, and mammals in fire-prone semi-arid Australia. First, we developed statistical models of species' responses to fire history. Second, we determined the optimal allocation of successional states in a given area, based on the geometric mean of species relative abundance. Finally, we showed how conservation targets based on this index can be incorporated into a decision-making framework for fire management. Pyrodiversity per se did not necessarily promote vertebrate biodiversity. Maximizing pyrodiversity by having an even allocation of successional states did not maximize the geometric mean abundance of bird species. Older vegetation was disproportionately important for the conservation of birds, reptiles, and small mammals. Because our method defines fire management objectives based on the habitat requirements of multiple species in the community, it could be used widely to maximize biodiversity in fire-prone ecosystems.		ARC Centre of Excellence for Environmental Decisions, School of Botany, University of Melbourne, Parkville, Victoria, 3010, Australia.		Kelly, Luke/0000-0002-3127-3111; McCarthy, Michael/0000-0003-1039-7980	Animals. Australia. *Biodiversity. Birds / physiology. Conservation of Natural Resources / *methods. Ecosystem. *Fires. Mammals / physiology. Models, Biological. Reptiles / physiology	Index Medicus	aves; biodiversity index; birds; fire mosaic; geometric mean; mamiferos pequenos; media geometrica; mosaico de incendios; patch-mosaic burning; pirodiversidad; pyrodiversity; quema en fragmentos-mosaicos; reptiles; small mammals; indice de biodiversidad						Biodiversity & Conservation; Zoology; Environmental Sciences & Ecology; Life Sciences & Biomedicine - Other Topics (provided by Clarivate Analytics)	1523-1739	9882301	United States			MEDLINE			 / 19 Jan 2016 / 16 Mar 2015		28 Aug 2014		10.1111/cobi.12384	MEDLINE:25163611				2019-04-10
J	25376157	Journal Article; Research Support, Non-U.S. Gov't	Measuring habitat heterogeneity reveals new insights into bird community composition.		Stirnemann, Ingrid A; Ikin, Karen; Gibbons, Philip; Blanchard, Wade; Lindenmayer, David B		Oecologia	177	3	733-746	2015	2015 Mar (Epub 2014 Nov 07)	English	1	71	Fine-scale vegetation cover is a common variable used to explain animal occurrence, but we know less about the effects of fine-scale vegetation heterogeneity. Theoretically, fine-scale vegetation heterogeneity is an important driver of biodiversity because it captures the range of resources available in a given area. In this study we investigated how bird species richness and birds grouped by various ecological traits responded to vegetation cover and heterogeneity. We found that both fine-scale vegetation cover (of tall trees, medium-sized trees and shrubs) and heterogeneity (of tall trees, and shrubs) were important predictors of bird richness, but the direction of the response of bird richness to shrub heterogeneity differed between sites with different proportions of tall tree cover. For example, bird richness increased with shrub heterogeneity in sites with high levels of tall tree cover, but declined in sites with low levels of tall tree cover. Our findings indicated that an increase in vegetation heterogeneity will not always result in an increase in resources and niches, and associated higher species richness. We also found birds grouped by traits responded in a predictable way to vegetation heterogeneity. For example, we found small birds benefited from increased shrub heterogeneity supporting the textual discontinuity hypothesis and non-arboreal (ground or shrub) nesting species were associated with high vegetation cover (low heterogeneity). Our results indicated that focusing solely on increasing vegetation cover (e.g. through restoration) may be detrimental to particular animal groups. Findings from this investigation can help guide habitat management for different functional groups of birds.		Fenner School of Environment and Society, The Australian National University, Canberra, Act, 0200, Australia. ingrid.stirnemann@anu.edu.au.; Fenner School of Environment and Society, The Australian National University, Canberra, Act, 0200, Australia.	Ikin, Karen/G-2845-2012; Lindenmayer, David/P-7183-2017	Lindenmayer, David/0000-0002-4766-4088	Animals. *Biodiversity. *Birds. *Ecology. *Ecosystem. Phenotype. *Trees	Index Medicus							Biodiversity & Conservation; Zoology; Environmental Sciences & Ecology; Genetics & Heredity; Plant Sciences (provided by Clarivate Analytics)	1432-1939	0150372	Germany			MEDLINE			 / 17 Sep 2015 / 05 May 2018		07 Nov 2014		10.1007/s00442-014-3134-0	MEDLINE:25376157				2019-04-10
J	26431173	Journal Article; Research Support, Non-U.S. Gov't	Anthropogenically-Mediated Density Dependence in a Declining Farmland Bird.		Dunn, Jenny C; Hamer, Keith C; Benton, Tim G		PloS one	10	10	e0139492	2015	2015 	English	1	26	Land management intrinsically influences the distribution of animals and can consequently alter the potential for density-dependent processes to act within populations. For declining species, high densities of breeding territories are typically considered to represent productive populations. However, as density-dependent effects of food limitation or predator pressure may occur (especially when species are dependent upon separate nesting and foraging habitats), high territory density may limit per-capita productivity. Here, we use a declining but widespread European farmland bird, the yellowhammer Emberiza citrinella L., as a model system to test whether higher territory densities result in lower fledging success, parental provisioning rates or nestling growth rates compared to lower densities. Organic landscapes held higher territory densities, but nests on organic farms fledged fewer nestlings, translating to a 5 times higher rate of population shrinkage on organic farms compared to conventional. In addition, when parental provisioning behaviour was not restricted by predation risk (i.e., at times of low corvid activity), nestling provisioning rates were higher at lower territory densities, resulting in a much greater increase in nestling mass in low density areas, suggesting that food limitation occurred at high densities. These findings in turn suggest an ecological trap, whereby preferred nesting habitat does not provide sufficient food for rearing nestlings at high population density, creating a population sink. Habitat management for farmland birds should focus not simply on creating a high nesting density, but also on ensuring heterogeneous habitats to provide food resources in close proximity to nesting birds, even if this occurs through potentially restricting overall nest density but increasing population-level breeding success.		School of Biology, Irene Manton Building, University of Leeds, Leeds, LS2 9JT, United Kingdom.	Benton, Tim/C-6493-2009	Benton, Tim/0000-0002-7448-1973; Dunn, Jenny/0000-0002-6277-2781	Agriculture / *methods. Animal Distribution. Animals. Crows / physiology. *Ecosystem. Edible Grain. *Endangered Species. England. Food Supply. *Human Activities. Insecta. Nesting Behavior. Organic Agriculture. Pesticides. Population Dynamics. Predatory Behavior. Reproduction. *Songbirds. Territoriality	Index Medicus				0 / Pesticides			Agriculture; Zoology; Environmental Sciences & Ecology; Food Science & Technology; Behavioral Sciences; Reproductive Biology (provided by Clarivate Analytics)	1932-6203	101285081	United States	BBSSK200512132 / Biotechnology and Biological Sciences Research Council	NLM	MEDLINE			 / 07 Jun 2016 / 16 Nov 2017		02 Oct 2015		10.1371/journal.pone.0139492	MEDLINE:26431173	DOAJ Gold, Green Published			2019-04-10
J	25714747	Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.	Building the foundation for international conservation planning for breeding ducks across the U.S. and Canadian border.		Doherty, Kevin E; Evans, Jeffrey S; Walker, Johann; Devries, James H; Howerter, David W		PloS one	10	2	e0116735	2015	2015 	English	2	16	We used publically available data on duck breeding distribution and recently compiled geospatial data on upland habitat and environmental conditions to develop a spatially explicit model of breeding duck populations across the entire Prairie Pothole Region (PPR). Our spatial population models were able to identify key areas for duck conservation across the PPR and predict between 62.1-79.1% (68.4% avg.) of the variation in duck counts by year from 2002-2010. The median difference in observed vs. predicted duck counts at a transect segment level was 4.6 ducks. Our models are the first seamless spatially explicit models of waterfowl abundance across the entire PPR and represent an initial step toward joint conservation planning between Prairie Pothole and Prairie Habitat Joint Ventures. Our work demonstrates that when spatial and temporal variation for highly mobile birds is incorporated into conservation planning it will likely increase the habitat area required to support defined population goals. A major goal of the current North American Waterfowl Management Plan and subsequent action plan is the linking of harvest and habitat management. We contend incorporation of spatial aspects will increase the likelihood of coherent joint harvest and habitat management decisions. Our results show at a minimum, it is possible to produce spatially explicit waterfowl abundance models that when summed across survey strata will produce similar strata level population estimates as the design-based Waterfowl Breeding Pair and Habitat Survey (r2 = 0.977). This is important because these design-based population estimates are currently used to set duck harvest regulations and to set duck population and habitat goals for the North American Waterfowl Management Plan. We hope this effort generates discussion on the important linkages between spatial and temporal variation in population size, and distribution relative to habitat quantity and quality when linking habitat and population goals across this important region.		United States Fish & Wildlife Service, 134 Union Blvd, Lakewood, Colorado, United States of America.; The Nature Conservancy, Fort Collins, CO, 80524, United States of America & Department of Zoology and Physiology, University of Wyoming, Laramie, WY, 82071, United States of America.; Ducks Unlimited, Great Plains Region, 2525 River Road, Bismarck, North Dakota, United States of America.; Institute for Wetland and Waterfowl Research, Ducks Unlimited Canada, P.O. Box 1160 Stonewall, Manitoba, Canada.			Animals. *Breeding. Canada. *Conservation of Natural Resources. *Ducks. Geography. Models, Theoretical. Population Density. United States	Index Medicus							Genetics & Heredity; Environmental Sciences & Ecology; Zoology; Geography (provided by Clarivate Analytics)	1932-6203	101285081	United States			MEDLINE			 / 18 Jan 2016 / 23 Apr 2018		25 Feb 2015		10.1371/journal.pone.0116735	MEDLINE:25714747	DOAJ Gold, Green Published			2019-04-10
J	25274363	Journal Article; Research Support, Non-U.S. Gov't	Road networks predict human influence on Amazonian bird communities.		Ahmed, Sadia E; Lees, Alexander C; Moura, Nargila G; Gardner, Toby A; Barlow, Jos; Ferreira, Joice; Ewers, Robert M		Proceedings. Biological sciences	281	1795		2014	2014 Nov 22	English	4	109	© 2014 The Author(s) Published by the Royal Society. All rights reserved.Road building can lead to significant deleterious impacts on biodiversity, varying from direct road-kill mortality and direct habitat loss associated with road construction, to more subtle indirect impacts from edge effects and fragmentation. However, little work has been done to evaluate the specific effects of road networks and biodiversity loss beyond the more generalized effects of habitat loss. Here, we compared forest bird species richness and composition in the municipalities of Santarem and Belterra in Para state, eastern Brazilian Amazon, with a road network metric called 'roadless volume (RV)' at the scale of small hydrological catchments (averaging 3721 ha). We found a significant positive relationship between RV and both forest bird richness and the average number of unique species (species represented by a single record) recorded at each site. Forest bird community composition was also significantly affected by RV. Moreover, there was no significant correlation between RV and forest cover, suggesting that road networks may impact biodiversity independently of changes in forest cover. However, variance partitioning analysis indicated that RV has partially independent and therefore additive effects, suggesting that RV and forest cover are best used in a complementary manner to investigate changes in biodiversity. Road impacts on avian species richness and composition independent of habitat loss may result from road-dependent habitat disturbance and fragmentation effects that are not captured by total percentage habitat cover, such as selective logging, fire, hunting, traffic disturbance, edge effects and road-induced fragmentation.		Computational Science Laboratory, Microsoft Research, 21 Station Road, Cambridge CB1 2FB, UK Department of Life Sciences, Imperial College London, Silwood Park Campus, Ascot, Berkshire SL5 7PY, UK sadia@microsoft.com.; Coordenacao de Zoologia Museu Paraense Emilio Goeldi, CP 399, Avenida Perimetral, 1901, Terra Firme, Belem, Para 66077-530, Brazil.; Curso de Pos-Graduacao de Zoologia, Universidade Federal do Para/Museu Paraense Emilio Goeldi, Caixa Postal 399, Belem, Para 66040-170, Brazil.; Stockholm Environment Institute, 87D Linegatan, Stockholm, Sweden International Institute for Sustainability, Estrada Dona Castorina 124, Rio de Janeiro 22460-320, Brazil.; Coordenacao de Zoologia Museu Paraense Emilio Goeldi, CP 399, Avenida Perimetral, 1901, Terra Firme, Belem, Para 66077-530, Brazil Lancaster Environment Centre, Lancaster University, Lancaster LA1 3HE, UK.; Embrapa Amazonia Oriental, Travessa Dr. Eneas Pinheiro s/n, Caixa Postal 48, Belem, Para 66095-100, Brazil.; Department of Life Sciences, Imperial College London, Silwood Park Campus, Ascot, Berkshire SL5 7PY, UK.	Barlow, Jos/E-7861-2014	Lees, Alexander/0000-0001-7603-9081	Animals. *Biodiversity. Birds / *physiology. Brazil. Conservation of Natural Resources / *methods. Ecosystem. *Transportation	Index Medicus	Amazon; biodiversity; forest birds; infrastructure development; road density; road effects						Biodiversity & Conservation; Zoology; Environmental Sciences & Ecology (provided by Clarivate Analytics)	1471-2954	101245157	England			MEDLINE			 / 22 Oct 2015 / 31 Jan 2019				10.1098/rspb.2014.1742	MEDLINE:25274363	Bronze, Green Published			2019-04-10
J	25165523	Journal Article	Effects of agri-environmental schemes on farmland birds: do food availability measurements improve patterns obtained from simple habitat models?		Ponce, Carlos; Bravo, Carolina; Alonso, Juan Carlos		Ecology and evolution	4	14	2834-47	2014	2014 Jul (Epub 2014 Jun 11)	English	3	50	Studies evaluating agri-environmental schemes (AES) usually focus on responses of single species or functional groups. Analyses are generally based on simple habitat measurements but ignore food availability and other important factors. This can limit our understanding of the ultimate causes determining the reactions of birds to AES. We investigated these issues in detail and throughout the main seasons of a bird's annual cycle (mating, postfledging and wintering) in a dry cereal farmland in a Special Protection Area for farmland birds in central Spain. First, we modeled four bird response parameters (abundance, species richness, diversity and "Species of European Conservation Concern" [SPEC]-score), using detailed food availability and vegetation structure measurements (food models). Second, we fitted new models, built using only substrate composition variables (habitat models). Whereas habitat models revealed that both, fields included and not included in the AES benefited birds, food models went a step further and included seed and arthropod biomass as important predictors, respectively, in winter and during the postfledging season. The validation process showed that food models were on average 13% better (up to 20% in some variables) in predicting bird responses. However, the cost of obtaining data for food models was five times higher than for habitat models. This novel approach highlighted the importance of food availability-related causal processes involved in bird responses to AES, which remained undetected when using conventional substrate composition assessment models. Despite their higher costs, measurements of food availability add important details to interpret the reactions of the bird community to AES interventions and thus facilitate evaluating the real efficiency of AES programs.		Department of Evolutionary Ecology, Museo Nacional de Ciencias Naturales, CSIC Jose Gutierrez Abascal 2, Madrid, E-28006, Spain.	Alonso, Juan Carlos/C-9974-2012; Evolutionary Ecology, Ecologia Evolutiva/M-3553-2014	Alonso, Juan Carlos/0000-0003-0450-7434; 			Agri-environmental scheme; agricultural intensification; biomass; habitat management; steppe birds; wildlife conservation							2045-7758	101566408	England		NLM	PubMed-not-MEDLINE			 / 28 Aug 2014 / 20 Feb 2017		11 Jun 2014		10.1002/ece3.1125	MEDLINE:25165523	DOAJ Gold, Green Published			2019-04-10
J	25419839	Journal Article; Research Support, Non-U.S. Gov't	ENSO, nest predation risk, food abundance, and male status fail to explain annual variations in the apparent survival rate of a migratory songbird.		Vernouillet, Alizee; Villard, Marc-Andre; Hache, Samuel		PloS one	9	11	e113844	2014	2014 	English	1	26	Adult mortality can be a major driver of population decline in species whose productivity is relatively low. Yet, little is known about the factors influencing adult survival rates in migratory bird species, nor do we know much about the longer-term effects of habitat disturbance on the fitness of individuals. The Ovenbird (Seiurus aurocapilla) is one of the vertebrate species most sensitive to forest management, yet it is still common and widespread. We monitored the fate of 330 colour-banded Ovenbird males in four pairs of 25-ha plots during 9 successive breeding seasons. One plot of each pair was treated through selection harvesting (30-40% basal area removed) during the first winter. We tested the following hypotheses: (1) higher physiological costs in harvested plots as a result of lower food abundance will reduce apparent survival rate (ASR) relative to controls; (2) lower ASR following years with low nest survival and higher probability of renesting; (3) fluctuations in ASR reflecting El Nino Southern Oscillation (ENSO); and (4) higher ASR in returning males than in recruits (unbanded immigrants) owing to greater site familiarity in the former. We tested the relative importance of these hypotheses, or combinations thereof, by generating 23 models explaining variation in ASR. The year-dependent model received the most support, showing a 41% decrease in ASR from 2007 to 2014. The important year-to-year variation we observed in ASR (Sigmaw(i) = 0.99) was not explained by variation in nest predation risk nor by ENSO. There was also little evidence for an effect of selection harvesting on ASR of Ovenbird males, despite a slight reduction in lifespan relative to males from control plots (2.7 vs 2.9 years). An avenue worth exploring to explain this intriguing pattern would be to determine whether conditions at migratory stopover sites or in the wintering area of our focal population have gradually worsened over the past decade.		Departement de biologie, Universite de Moncton, Moncton, Canada.; Department of Biological Sciences, University of Alberta, Edmonton, Canada.	Villard, Laurent/E-3941-2016	Villard, Laurent/0000-0001-6657-5008	Algorithms. Animal Migration / *physiology. Animals. Ecosystem. *El Nino-Southern Oscillation. Feeding Behavior / physiology. *Food. Forests. Geography. Male. Models, Biological. Nesting Behavior / *physiology. New Brunswick. Passeriformes / *physiology. Population Density. Population Dynamics. Predatory Behavior / *physiology. Seasons. Songbirds / physiology	Index Medicus							Mathematics; Behavioral Sciences; Environmental Sciences & Ecology; Meteorology & Atmospheric Sciences; Food Science & Technology; Geography; Life Sciences & Biomedicine - Other Topics; Zoology (provided by Clarivate Analytics)	1932-6203	101285081	United States			MEDLINE			 / 26 Jan 2016 / 05 Apr 2018	Erratum in: PLoS One. 2015;10(3):e0122941 / PMID: 25811357	24 Nov 2014		10.1371/journal.pone.0113844	MEDLINE:25419839	DOAJ Gold, Green Published			2019-04-10
