PT	UT	AN	PM	DT	LT	TI	FT	AU	CA	BA	BE	PN	AE	DG	PC	PL	SO	SE	PY	PD	VL	IS	PS	BP	EP	LA	ME	CT	CL	CY	SP	U1	U2	AB	C1	EM	RI	OI	PU	PA	SC	SN	EI	DI	BN	MC	CC	TA	DS	CH	GN	SD	GE	TM	MQ	PR	MI	OA	HC	HP	DA
J	BIOSIS:PREV200800035536	PREV200800035536		Article		Indicators for plant species richness in pine (Pinus sylvestris L.) forests of Germany		Zerbe, Stefan (zerbe@uni-greifswald.de) ; Schmidt, Inga (ischmid1@gwdg.de) ; Betzin, Joerg (Betzin@cs.TU-Berlin.de)									Biodiversity and Conservation		2007	NOV 2007	16	12	3301-3316	3301	3316	English						0	16	Forestry is obliged to record as well as maintain and/or enhance biological diversity in forests due to national and international agreements. Accordingly, it is necessary to work out methodological approaches for the assessment of biodiversity in forests. In the study presented here, we focus on the total plant species pool (563 vascular plant and bryophyte species) of pine (Pinus sylvestris L.) forests in NE Germany to identify indicators for plant species richness. We distinguished several groups like "herb", "grass-like", "woody", "endangered", and "exotic species", for which we detected indicators for low (class #1), intermediate (class #2), and high (class #3) species numbers. From a total of 84 species, which were identified by a three-step procedure, most indicators were found for class #3. Only few indicators have been revealed for intermediate species numbers, i.e. class #2. With help of Ellenberg's ecological indicator values and information on the main occurrence in Central European vegetation types and plant communities, respectively, we characterized the indicator species ecologically. The ecological site preferences of the indicator species in general reflect the fact that species richness is highest in base-rich, light, and anthropogenically disturbed pine forests. On the contrary, species-poor forests were revealed by indicators, which mainly occur on acidic sites. It is concluded that a considerable set of indicators for species richness can help facilitate biodiversity assessments in forestry and ecosystem restoration practice.	Zerbe, Stefan; Univ Greifswald, Inst Geobot and Landscape Ecol, Grimmer Str 88, D-17487 Greifswald, Germany						Life Sciences & Biomedicine - Other Topics; Forestry; Environmental Sciences & Ecology	0960-3115		10.1007/s10531-006-9111-0		Biogeography (Population Studies); Forestry; Terrestrial Ecology (Ecology, Environmental Sciences)	07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 50528, Botany: general and systematic - Floristics and distribution; 53500, Forestry and forest products	Gymnospermae, Spermatophyta, Plantae; Gymnosperms, Plants, Spermatophytes, Vascular Plants; Coniferopsida [25102]; [Pinus sylvestris; pine]					Germany; Europe; Palearctic region				biological diversity; vegetation type; species number; plant species richness; ecological indicator				2019-04-10	
J	BIOSIS:PREV200800126193	PREV200800126193		Article		Response of bird species densities to habitat structure and fire history along a Midwestern open-forest gradient		Grundel, Ralph (rgrundel@usgs.gov) ; Pavlovic, Noel B.									Condor		2007	NOV 2007	109	4	734-749	734	749	English						0	10	Oak savannas were historically common but are currently rare in the Midwestern United States. We assessed possible associations of bird species with savannas and other threatened habitats in the region by relating fire frequency and vegetation characteristics to seasonal densities of 72 bird species distributed across an open-forest gradient in northwestern Indiana. About one-third of the species did not exhibit statistically significant relationships with any combination of seven vegetation characteristics that included vegetation cover in Five vertical strata, dead tree density, and tree height. For 40% of the remaining species, models best predicting species density incorporated tree density. Therefore, management based solely on manipulating tree density may not be an adequate strategy for managing bird populations along this open-forest gradient. Few species exhibited sharp peaks in predicted density under habitat conditions expected in restored savannas, suggesting that few savanna specialists occur among Midwestern bird species. When fire frequency, measured over fifteen years, was added to vegetation characteristics as a predictor of species density, it was incorporated into models for about one-quarter of species, suggesting that fire may modify habitat characteristics in ways that are important for birds but not captured by the structural habitat variables measured. Among those species, similar numbers had peaks in predicted density at low, intermediate, or high fire frequency. For species suggested by previous studies to have a preference for oak savannas along the open-forest gradient, estimated density was maximized at an average fire return interval of about one fire every three years.	Grundel, Ralph; Great Lakes Sci Ctr, US Geol Survey, Porter, IN 46304 USA						Environmental Sciences & Ecology; Life Sciences & Biomedicine - Other Topics	0010-5422		10.1650/0010-5422(2007)109[734:ROBSDT]2.0.CO;2		Terrestrial Ecology (Ecology, Environmental Sciences); Biogeography (Population Studies)	07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 07508, Ecology: environmental biology - Animal; 50528, Botany: general and systematic - Floristics and distribution; 62800, Animal distribution	Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Aves [85500]; [bird; (72 species)]/Dicotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Dicots, Plants, Spermatophytes, Vascular Plants; Fagaceae [26070]; [oak]					Indiana; USA, North America; Nearctic region/Savanna; USA, North America; Nearctic region				habitat structure; seasonal effect; fire history; bird density; tree density				2019-04-10	
J	BIOSIS:PREV200800064459	PREV200800064459		Article		Landscape use by hairy woodpeckers in managed forests of northwestern Washington		Ripper, Dana (villosus@hotmail.com) ; Bednarz, James C.; Varland, Daniel E.									Journal of Wildlife Management		2007	NOV 2007	71	8	2612-2623	2612	2623	English						0	29	The hairy woodpecker (Picoides villosus) is a keystone species in forest ecosystems of Washington, USA, providing nesting and roosting cavities for many species of wildlife. Therefore, management practices that promote healthy populations of this bird will help to conserve cavity-nesting communities as a whole. The objective of this study was to determine patterns in forest type and landscape use by hairy woodpeckers, and thus, provide landscape-level recommendations to forest managers. We documented the ranging patterns and habitat use of 23 hairy woodpeckers on the Olympic Peninsula using radiotelemetry and a Geographic Information System analysis. Use patterns of stand age, type, and size, as well as distance-from-edge analyses revealed that the hairy woodpecker is a relative generalist in its use of the managed forest landscape. However, certain features, such as older stands with large trees, were used more heavily by nesting pairs. Hairy woodpeckers used 61-80-year forest stands significantly (P < 0.05) more than expected relative to their availability within the birds' home ranges. We also documented significant underuse of 6-10-year and 11-20-year stands, whereas the birds used 41-60-year stands, >80-year stands, and clear-cuts (<5 yr) equivalent to their availability. We suggest that hairy woodpeckers select older stands with larger, dying trees for foraging, but also use clear-cuts proportionally due to the residual snags, decaying trees, and remnant dead wood available. Higher use (P < 0.001) by hairy woodpeckers of small forest patches (0-5 ha) and intermediate-sized stands (5-30 ha) than large patches (>30 ha) may be a result of the older, higher-quality habitat available in small stands in the managed forest landscape. We recommend that land managers interested in maintaining healthy managed forest ecosystems with a full complement of cavity-using species in forests of western Washington and northwestern Oregon maintain a landscape mosaic with approximately 45% of the landscape in stands >40 years, and >30% of the landscape in stands >60 years.	Ripper, Dana; Rocky Mt Bird Observ, 230 Cherry St, Ft Collins, CO 80521 USA						Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Biodiversity & Conservation	0022-541X	1937-2817	10.2193/2005-487		Biogeography (Population Studies); Terrestrial Ecology (Ecology, Environmental Sciences); Wildlife Management (Conservation)	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 07518, Ecology: environmental biology - Wildlife management: terrestrial; 62800, Animal distribution	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Piciformes [85552]; [Picoides villosus; hairy woodpecker]					Olympic Peninsula; Washington, USA, North America; Nearctic region		forest management; applied and field techniques/geographic information system; applied and field techniques		forest type; landscape use; cavity-nesting community				2019-04-10	
J	BIOSIS:PREV200800064461	PREV200800064461		Article		Breeding birds in riparian and upland dry forests of the cascade range		Lehmkuhl, John F. (jlehmkuhl@fs.fed.us) ; Burger, E. Dorsey; Drew, Emily K.; Lindsey, John P.; Haggard, Maryellen; Woodruff, Kent Z.									Journal of Wildlife Management		2007	NOV 2007	71	8	2632-2643	2632	2643	English						1	11	We quantified breeding bird abundance, diversity, and indicator species in riparian and upland dry forests along 6 third- to fourth-order streams on the east slope of the Cascade Range, Washington, USA. Upland dry forest on southerly aspects was dominated by open ponderosa pine (Pinus ponderosa) and dry Douglas-fir (Pseudotsuga menziesii) plant associations. Upland mesic forest on northerly aspects was dominated by closed-canopy Douglas-fir or dry grand fir (Abies grandis) plant associations. Riparian overstory vegetation was dominated by black cottonwood (Populus trichocarpa) plant associations with a prominent hardwood tree and shrub component. We quantified bird assemblages, diversity, and abundance from parallel point transects on riparian and adjacent dry and mesic upslope forests. We detected 80 bird species from >12,000 point-transect observations during 1998-1999. Eighteen species accounted for 75% of all detections. Species richness and evenness were similar in all 3 forest types, with approximately 35 species and high evenness (0.85) in each forest type. Bird species assemblages differed among dry, mesic, and riparian forest types, with the greatest differences between riparian and both dry and mesic upland forests. Riparian forest had the greatest number (9) of strong characteristic, or indictor, species among the 3 forest types. Upland mesic forest was characterized by 7 indicator species. Upland dry forest had 4 indicator species. Our results indicate that current standards and guidelines for riparian buffers zones would allow for avian refuge and corridor functions along these streams. Forest managers could use our indicator species to predict and monitor shifts in upland forest species composition from thinning and prescribed burning practices that are used to reduce fuels in uplands and to reduce continuity of fire effects between riparian and upland zones.	Lehmkuhl, John F.; Baltimore Cty Dept Environm Protect and Resource M, 401 Bosley Ave, Towson, MD 21204 USA						Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Biodiversity & Conservation	0022-541X		10.2193/2007-004		Biogeography (Population Studies); Terrestrial Ecology (Ecology, Environmental Sciences); Wildlife Management (Conservation)	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 50528, Botany: general and systematic - Floristics and distribution	Gymnospermae, Spermatophyta, Plantae; Gymnosperms, Plants, Spermatophytes, Vascular Plants; Coniferopsida [25102]; [Pinus ponderosa; ponderosa pine] [Pseudotsuga menziesii; dry Douglas-fir] [Abies grandis; dry gand fir]/Dicotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Dicots, Plants, Spermatophytes, Vascular Plants; Salicaceae [26695]; [Populus trichocarpa; black cottonwood]					Washington; USA, North America; Nearctic region				riparian forest type; upland dry forest; cascade range				2019-04-10	
J	BIOSIS:PREV200800003693	PREV200800003693		Article		Field survey on bird species diversity at Huamugou Nature Reserve, Inner Mongolia in the summer 2006		Zhang Shu-Li; Yuan Li; Yang Yong-Xin; Wang Zhi-Ling; He Wei; Bao Wei-Dong (zhangshuli67@126.com)									Chinese Journal of Zoology		2007	OCT 20 2007	42	5	94-100	94	100	Chinese						0	0	Aimed at understanding bird diversity status and setting for a reasonably habitat management strategy at Huamugou Nature Reserve, Inner Mongolia, a field survey on bird species diversity was conducted at fixed transect lines in the summer from May to July of 2006. Totally 127 bird species were recorded which belong to 44 families and 17 orders. Among them 1 species is listed as Rank I species in the National Protected Species and 14 birds are Rank II species respectively. 90 species are breeder in the study area, 27 species are residents, 10 species are migrants. Habitat of grassland and marsh had a highest species diversity index; however, the evenness indexes were higher at woodlands than any other habitat. Results of the field survey would be used as important basic data to make habitat management plan for the conservation of the birds species and community diversity for the nature reserve authority.	Bao Wei-Dong; Beijing Forestry Univ, Coll Nat Resources, Beijing 100083, Peoples R China						Life Sciences & Biomedicine - Other Topics; Science & Technology - Other Topics; Biodiversity & Conservation	0250-3263				Biogeography (Population Studies); Methods and Techniques; Biodiversity	07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 62800, Animal distribution	Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Aves [85500]; [bird]					Huamugou Nature Reserve; Mongolia, Asia; Palearctic region		field survey; applied and field techniques		seasonal variation; species diversity				2019-04-10	
J	BIOSIS:PREV200800223713	PREV200800223713		Article		The forest structure and ecosystem quality in conditions of anthropogenic disturbance along productivity gradient		Liira, Jaan (jaan.liira@ut.ee) ; Sepp, Toivo (toivos@ut.ee) ; Parrest, Oliver (oliver.parrest@mail.ee)									Forest Ecology and Management		2007	OCT 15 2007	250	1-2	34-46	34	46	English						2	55	Forest structure and diversity have generally been well studied, but the effects of anthropogenic disturbance on structural differences of hemi-boreal old-growth and managed mature stands have not been quantified along a wide range of the productivity gradient. This study compared 39 quantitative or qualitative characteristics and various widely accepted biodiversity indicators of a stand, its understorey and the forest floor in old-growth and conventionally managed mature stands of dry alvar and fresh boreo-nemoral forests. This study has to produce a statistically supported set of indicators for evaluating of forest "naturalness". We examined 154 stands over a wide biogeographical range in Estonia.Many forest structural characteristics, including stand basal area and composition, amount of dead wood, and coverage of understorey layers (shrub, herb and moss layers) followed productivity and/or biogeographical gradients. Old-growth forests had higher proportions of deciduous trees, a larger amount of coarse woody debris (CWD, consisting of logs and snags), a higher frequency of logs in each decay class, a denser understorey and herb layer, and a more heterogeneous pattern of herb layer diversity than mature managed forests. We found a correlation between live trees greater than 40 cm in diameter and forest age. The effects of forest management on the forest floor are both direct and indirect. Anthropogenic disturbance directly decreased shrub and herb layer coverage. Indirectly forest management increased herb layer coverage, proportion of graminoids, and species richness of the herb layer by improving light conditions as stand canopy was opened.The sets of indicators for assessing ecosystem quality in each forest site-type have overlapping features, such as the amount of dead wood, canopy closure of the stand and the presence of woodpeckers and specific lichens. Several other old-growth or disturbance indicators are forest-type specific, related to the composition of shrub and herb layer vegetation.Results suggest that stands managed with an extended rotation can be compositionally very similar to old-growth forests. Stands differ quantitatively in structural features, but these differences are confounded by other environmental factors, such as soil productivity, forest age or biogeography. Mature and old-growth forests still enclose features created by the mid-term (decades) and long-term (centuries) history of forest management practices. (C) 2007 Elsevier B.V. All rights reserved.	Liira, Jaan; Univ Tartu, Inst Bot and Ecol, 40 Lai St, EE-51005 Tartu, Estonia		Liira, Jaan/G-9879-2015	Liira, Jaan/0000-0001-8863-0098			Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology	0378-1127		10.1016/j.foreco.2007.03.007		Biogeography (Population Studies); Terrestrial Ecology (Ecology, Environmental Sciences)	07502, Ecology: environmental biology - General and methods										forest management; forest age; anthropogenic disturbance; dead wood; ecosystem quality; herb layer vegetation; productivity gradient				2019-04-10	
J	BIOSIS:PREV200700427474	PREV200700427474		Article		Avian community structure among restored riparian habitats in northwestern Mississippi		Smiley, Peter C. (smiley.50@osu.edu) ; Maul, Jonathan D.; Cooper, Charles M.									Agriculture Ecosystems & Environment		2007	OCT 2007	122	2	149-156	149	156	English						2	14	Riparian zones and agricultural fields adjacent to incised streams in northwestern Mississippi are impacted by gully erosion initiated by runoff flowing over unstable streambanks. Currently, installation of erosion control structures (drop pipes) at the riparian zone-agricultural field interface halts gully erosion and simultaneously establishes one of four riparian habitat types. Avian communities were compared among four types of restored habitats and among four seasonal periods in northwestern Mississippi from June 1994 to May 1996. Fifty-seven species were observed among riparian habitats, of which 49% were neotropical migrants. Habitat type and season significantly affected species richness, abundance, and diversity. Species richness, abundance, and diversity increased as habitat area, pool volume, and vertical structure of woody vegetation increased among riparian habitat types. Additionally, species richness, abundance, and diversity increased during spring and fall. The influence of habitat type on avian species richness, abundance, and diversity did not differ among seasons. Present drop pipe installation practices focus on erosion control without consideration of habitat creation. Installation practices can be altered to more effectively incorporate habitat creation to provide the greatest ecological benefits for avian communities within impacted riparian zones. Published by Elsevier B.V.	Smiley, Peter C.; USDA ARS, Soil Drainage Res Unit, 590 Woody Hayes Dr, Columbus, OH 43210 USA						Environmental Sciences & Ecology; Biodiversity & Conservation	0167-8809		10.1016/j.agee.2006.12.028		Terrestrial Ecology (Ecology, Environmental Sciences); Biodiversity; Wildlife Management (Conservation)	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 07518, Ecology: environmental biology - Wildlife management: terrestrial	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Passerina cyanea; indigo bunting] [Melospiza melodia; song sparrow] [Passer domesticus; house sparrow] [Cardinalis cardinalis; northern cardinal] [Poecile carolinensis; Carolina chickadee] [Dendroica coronata; yellow-rumped warbler] [Passerina caerulea; blue grosbeak] [Sialia sialis; eastern bluebird] [Passerculus sandwichensis; savannah sparrow] [Carduelis tristis; American goldfinch] [Agelaius phoeniceus; red-winged blackbird] [Cyanocitta cristata; blue jay] [Mimus polyglottos; northern mockingbird] [Spizella arborea; American tree sparrow] [Geothlypis trichas; common yellowthroat] [Bombycilla cedrorum; cedar waxwing] [Spizella pusilla; field sparrow] [Thryothorus ludovicianus; Carolina wren] [Tyrannus tyrannus; eastern kingbird] [Turdus migratoris; American robin]					Mississippi; USA, North America; Nearctic region				species richness; species diversity; species abundance; habitat restoration; riparian zone				2019-04-10	
J	BIOSIS:PREV200800162756	PREV200800162756		Article		Long-term changes in forest vegetation as a factor for decreasing breeding success of the Mountain Hawk Eagle Spizaetus nipalensis		Iida, Tomohiko (tiida@bronze.ocn.ne.jp) ; Iida, Shigeru; Mohri, Takayuki; Inoue, Susumu									Japanese Journal of Ornithology		2007	OCT 2007	56	2	141-156	141	156	Japanese						0	1	Long-term monitoring of the Mountain Hawk Eagle Spizaetus nipalensis since the early 1980s has shown that its breeding success in various parts of Japan has rapidly decreased in recent years. We examined if any changes in forest vegetation within the eagle home ranges caused this reduced breeding success. The breeding success of three pairs of S. nipalensis in western Hiroshima prefecture was monitored from 1981 to 2005. The presumed environmental factors responsible for breeding success such as vegetation structure, abundance of major avian and mammalian prey, incidence of direct human disturbance, age of pairs, weather conditions, and aggravation of the nesting environment were also monitored. Two of the three pairs exhibited a great reduction in breeding success after the late 1980s. Their low reproductive successes were associated with significant changes in forest vegetation such as an increase in old-aged conifer plantations and a decrease in deciduous forests and young conifer plantations. The third pair of S. nipalensis did not show any marked reduction in breeding success; however, forest vegetation within their home range did not change significantly and was consistently predominated by deciduous forest. Though the forest vegetation within a pair home range shifted from a predominantly young conifer plantation to an old well-grown one, breeding success for that pair did not fall appreciably. This was probably due to greater prey abundance in the appropriately managed forest. A conifer plantation well managed by thinning, pruning and tending would not only support prey population, but would also provide appropriate hunting grounds for S. nipalensis. To improve breeding success, we propose that at least 400 ha of suitable forest vegetation should be sustained for every breeding pair by conducting management practices that ensure well groomed artificial forests.	Iida, Tomohiko; Kyushu Univ, Grad Sch Bioresource and Bioenvironm Sci, Dept Forest and Forest Prod Sci,Lab Forest Resource, Div Forest Ecosphere Sci and Management, Fukuoka 8122415, Japan						Environmental Sciences & Ecology; Biodiversity & Conservation; Reproductive Biology	0913-400X		10.2326/jjo.56.141		Terrestrial Ecology (Ecology, Environmental Sciences); Wildlife Management (Conservation); Reproduction	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 07508, Ecology: environmental biology - Animal; 07518, Ecology: environmental biology - Wildlife management: terrestrial; 16504, Reproductive system - Physiology and biochemistry; 51512, Plant physiology - Reproduction	Gymnospermae, Spermatophyta, Plantae; Gymnosperms, Plants, Spermatophytes, Vascular Plants; Coniferopsida [25102]; [conifer]/Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Falconiformes [85534]; [Spizaetus nipalensis; mountain hawk eagle; (protected species)]					Japan; Asia; Palearctic region				breeding success; prey availability; nesting environment; vegetation turbance	Bronze			2019-04-10	
J	BIOSIS:PREV200800066688	PREV200800066688		Article		The effects of fire on grassland bird communities of Barberspan, North- West Province, South Africa		Bouwman, Henk (henk.bouwman@nwu.ac.za) ; Hoffman, Retha									Ostrich		2007	OCT 2007	78	3	591-608	591	608	English						0	11	Considering the frequent nature of fires and resultant drastic change in habitat following fire, research on the effects of fire on birds in the grasslands of South Africa is surprisingly scarce. For at least five months after burns we followed the changes in bird species composition, species richness and densities of two controlled burns and one accidental fire at the Barberspan Nature Reserve in grasslands that had not been burned or grazed in 10 years, Compared with the control areas, species richness and densities increased in the burned areas immediately following the burns, with more species and birds recruited to the burned areas than were lost. Immediate post-burn opportunists tended to be larger species, and the biomass increase mirrored the increases in species richness and densities in burned areas. Avian species richness, densities and biomass tended to return to the initial conditions after a number of months. Although the bird communities from two controlled-burns differed before the burns, they converged to a characteristic immediate post-burn composition. Five months after the burns however, the bird communities reflected a pre-burn composition. Indications were that birds in an area larger than that burned were affected. Mosaic burning, with shifting large and small patches, should be considered on a landscape scale.	Bouwman, Henk; North West Univ, Sch Environm Sci and Dev, Potchefstroom Campus,Private Bag X6001, ZA-2520 Potchefstroom, South Africa			Bouwman, Hindrik/0000-0002-7983-7502			Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology	0030-6525		10.2989/OSTRICH.2007.78.3.6.317		Biogeography (Population Studies); Ecology (Environmental Sciences)	07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 50528, Botany: general and systematic - Floristics and distribution	Monocotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Monocots, Plants, Spermatophytes, Vascular Plants; Gramineae [25305]; [Themeda triandra] [Cynodon dactylon] [Panicum coloratum] [Aristida congesta] [Eragrostis trichopora]					South Africa; Africa; Ethiopian region				burn				2019-04-10	
J	BIOSIS:PREV200800120600	PREV200800120600		Article		Riparian-zone rehabilitation in pine plantations: Grassland vs woodland for plants and birds?		Malan, G. (malang@tut.ac.za) ; Meyer, E.; Panagos, M. D.									South African Journal of Wildlife Research		2007	OCT 2007	37	2	159-178	159	178	English						0	12	The study compared plant and avian diversity and species composition between four habitats to review the potential implications of two distinct management practices on a forestry estate, namely to rehabilitate riparian zones to grasslands or woodlands as the two habitats that historically occurred on the property. The study habitats were Plantation (Pinus trees in riparian zone), Bushland (recently harvested), Grassland (cleared of broadleaf plants), and Woodland (control). At seven sampling sites per habitat, a vegetation assessment was conducted, while birds were caught with mist nests. Plant species richness increased from Plantation to Woodland, whereas most bird species and individuals were found in Bushland. Plant and bird species composition differed significantly between habitats. Bushland and Grassland birds were closely associated with exotic forbs. Grassland attracted birds with diverse habitat and nesting-site associations, and Woodland birds associated with woody plants. It is recommended that the majority of riparian zones be managed as grasslands, although the exact affect of the biennial summer burning and presence of exotic plants on birds needs to be investigated. To attract cavity-nesting birds to the Estate, some suitable riparian zones should be rehabilitated to Woodland by planting Ficus and Acacia trees, as these trees are the most abundant and frequently occurring in this habitat. Rather than manage avian diversity per se, the African stonechat in Grassland and lesser honeyguide in Woodland can be employed as indicators of the rehabilitation state of the riparian zones.	Malan, G.; Tshwane Univ Technol, Dept Nat Conservat, Private Bag X680, ZA-0001 Pretoria, South Africa						Biodiversity & Conservation	0379-4369		10.3957/0379-4369-37.2.159		Wildlife Management (Conservation); Biodiversity	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant	Gymnospermae, Spermatophyta, Plantae; Gymnosperms, Plants, Spermatophytes, Vascular Plants; Coniferopsida [25102]; [Pinus; pine]/Dicotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Dicots, Plants, Spermatophytes, Vascular Plants; Leguminosae [26260]; [Acacia]/Dicotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Dicots, Plants, Spermatophytes, Vascular Plants; Moraceae [26395]; [Ficus]					Africa; Ethiopian region; Palearctic region				species composition; grassland; species richness; woodland; pine plantation; riparian-zone rehabilitation				2019-04-10	
J	BIOSIS:PREV200800052612	PREV200800052612		Article		Eucalypt plantings on farms benefit woodland birds in south-eastern Australia		Kavanagh, Rodney P. (rodk@sf.nsw.gov.au) ; Stanton, Matthew A.; Herring, Matthew W.									Austral Ecology		2007	SEP 2007	32	6	635-650	635	650	English						2	26	Most of the original forest and woodland cover on the western slopes of New South Wales and the northern plains of Victoria has been cleared for agriculture (wheat, sheep and cattle) and what remains is highly fragmented and modified by a long history of disturbance. Over the past three decades, native eucalypt trees and shrubs have been planted extensively in a part of this region to provide a range of environmental benefits. Our aim was to determine the extent to which these plantings could improve biological diversity in agricultural landscapes in south-eastern Australia and to identify the variables influencing their effectiveness. We sampled birds at 120 sites encompassing the range of available patch sizes, stand ages, floristic and structural conditions, and habitat attributes for revegetated areas and remnants of native vegetation, and we compared these to nearby paddocks. Eucalypt plantings were found to provide significant improvements in bird population density compared with cleared or sparsely treed paddocks, and mixed eucalypt and shrub plantings had similar bird communities to remnant native forest and woodland in the region. Birds displayed a strong response to patch size, with both larger (>= 5-20 ha) eucalypt plantings and larger (>= 5-20 ha) remnants having more species and more individuals per unit area than smaller (< 5 ha) patches of these vegetation types. Older (10-25 years) plantings had more bird species and individuals than young (< 10 years) plantings. The distance from remnant forest and woodland (habitat connectivity) appeared to be an important variable influencing bird species richness in eucalypt plantings. The main differences were due to the greater numbers of species classified as woodland-dependent in the larger-sized patches of plantings and remnants. Eucalypt plantings provided useful habitat for at least 10 declining woodland-dependent species, notably for the Speckled Warbler, Red-capped Robin and Rufous Whistler. The Brown Treecreeper and Dusky Woodswallow appeared to be the species most limited by the extent of remnant forest and woodland in the region. Plantings of all shapes and sizes, especially those larger than 5 ha, have an important role to play in providing habitat for many bird species. Restoration efforts are more likely to be successful if eucalypt plantings are established near existing remnant vegetation.	Kavanagh, Rodney P.; Dept Primary Ind, Div Sci and Res, POB 100, Beecroft, NSW 2119, Australia						Environmental Sciences & Ecology; Life Sciences & Biomedicine - Other Topics	1442-9985	1442-9993	10.1111/j.1442-9993.2007.01746.x		Terrestrial Ecology (Ecology, Environmental Sciences); Biogeography (Population Studies)	07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 07508, Ecology: environmental biology - Animal; 50528, Botany: general and systematic - Floristics and distribution; 62800, Animal distribution	Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Aves [85500]; [bird]/Dicotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Dicots, Plants, Spermatophytes, Vascular Plants; Myrtaceae [26430]; [eucalypt]					New South Wales; Australia; Australasian region				species richness; biological diversity				2019-04-10	
J	BIOSIS:PREV200800031530	PREV200800031530		Article		Effect of controlled fire frequency on grassland bird abundance during the breeding season at Cheyenne Bottoms Wildlife Area, Kansas		Hands, Helen M. (helenh@wp.state.ks.us)									Transactions of the Kansas Academy of Science		2007	FAL 2007	110	3-4	201-212	201	212	English						0	3	Cheyenne Bottoms Wildlife Area (CBWA) is an internationally recognized wetland surrounded by mixed-grass prairie. Because habitat management historically has been focused on the marsh, this study was initiated to determine the effects of spring burning on abundance and species richness of grassland-nesting birds. The effects of years since last bum and location on abundance and species richness were inconsistent among years. Unless additional bird surveys show consistent patterns in bird response to burning, frequency of bums will be determined based on vegetation characteristics rather than abundance of nesting birds.	Hands, Helen M.; Kansas Dept Wildlife and Pks, Cheyenne Bottoms Wildlife Area, 56 NE 40 Rd, Great Bend, KS 67530 USA						Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Biodiversity & Conservation	0022-8443		10.1660/0022-8443(2007)110[201:EOCFFO]2.0.CO;2		Biogeography (Population Studies); Terrestrial Ecology (Ecology, Environmental Sciences); Biodiversity	07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 07508, Ecology: environmental biology - Animal; 50528, Botany: general and systematic - Floristics and distribution; 62800, Animal distribution	Monocotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Monocots, Plants, Spermatophytes, Vascular Plants; Cyperaceae [25280]; [Eleocharis palustris; spikerush]/Monocotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Monocots, Plants, Spermatophytes, Vascular Plants; Gramineae [25305]; [Spartina pectinata; cordgrass] [Pascopyrum smithii-Distichlis; saltgass]/Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Gruiformes [85540]; [Grus americana; Whooping Cranes]					Kansas; USA, North America; Nearctic region				species richness; breeding season; habitat management; bird abundance; mixed-grass prairie; spring burning; Cheyenne Bottoms Wildlife Area				2019-04-10	
