Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
"Suwanrat J., Ngoprasert D., Sukumal N., Suwanwaree P., Savini T.","Reproductive ecology and nest-site selection of siamese fireback in lowland forest",2014,"Raffles Bulletin of Zoology","62",,,"581","590",,6,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907302270&partnerID=40&md5=9ee7aa498db03e33d52d8661243d9a1d","School of Biology, Institute of Science, Suranaree University of Technology, Nakhon Ratchasima, Thailand; King Mongkut's University of Technology Thonburi, Bangkok, Thailand","Suwanrat, J., School of Biology, Institute of Science, Suranaree University of Technology, Nakhon Ratchasima, Thailand; Ngoprasert, D., King Mongkut's University of Technology Thonburi, Bangkok, Thailand; Sukumal, N., King Mongkut's University of Technology Thonburi, Bangkok, Thailand; Suwanwaree, P., School of Biology, Institute of Science, Suranaree University of Technology, Nakhon Ratchasima, Thailand; Savini, T., King Mongkut's University of Technology Thonburi, Bangkok, Thailand","Breeding success in birds is strongly affected by the selection of suitable nesting sites which has the ability to directly affect population dynamics within a given population. Nest-sites are generally selected to reduce the risk of nest predation. In this study we provide information on the reproductive biology of Siamese fireback (Lophura diardi) at Sakaerat Biosphere Reserve, Thailand and identify habitat characteristics that influence nest site selection. At this site the species is found both in pristine and disturbed habitats. During a three year period (2010-2012), we found 21 nest-sites. Egg laying occurred from April to early August and the average clutch size was 6.4 ± 0.3 SE eggs (range four-eight). Incubation lasted 23-24 days and daily nest survival was estimated at 0.90 ± 0.02 SE (95% CI = 0.85-0.94), giving an estimated overall nest success of 0.08 ± 0.04 SE. Predation was the main cause of nest failure. Siamese fireback appeared to prefer to site nests between the buttresses of large trees (62.5%), which presumably have the potential to serve as shelter from potential predators. Analyses indicated that Siamese fireback significantly preferred to place nests in an area associated with dense vegetation coverage below 0.5 m, on steeper slopes, large basal areas of trees DBH >10 cm and with low potential predation pressure. This can be interpreted as a strategy to make the nest less conspicuous to predators and facilitate flying out of the nest when predators attack. Primary forest provides large mature trees and a complex structure of understory coverage that is important for optimal nesting sites and nest survival of Siamese fireback. © National University of Singapore.","Breeding ecology; Daily nest survival; Lophura diardi; Nesting success; Sakaerat biosphere reserve; The nest concealment hypotheses",Article,,Scopus,2-s2.0-84907302270
"Garnett S.T., Szabo J.K., Franklin D.C.","Australian birds: Current status and future prospects",2014,"Austral Ark: The State of Wildlife in Australia and New Zealand",,,,"422","439",,,10.1017/CBO9781139519960.022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953735630&doi=10.1017%2fCBO9781139519960.022&partnerID=40&md5=60e096cd773e2382877618956d462cea","Charles Darwin University, Darwin, Australia","Garnett, S.T., Charles Darwin University, Darwin, Australia; Szabo, J.K., Charles Darwin University, Darwin, Australia; Franklin, D.C., Charles Darwin University, Darwin, Australia","As in much of the world, Australia’s birds have suffered greatly from habitat loss, feral predators and direct exploitation. Less universal have been the declines caused by post-colonial changes in fire regime after 40000 years of Indigenous fire management. Climate change and a disengagement by Australians from nature loom as threats for the future. However, Australia is a country of climatic extremes and many birds are well-adapted to stressful conditions. Given adequate investment, all the major classes of threat have potential solutions, with particular success in recent decades in the removal of feral predators from islands and in reducing the by-catch from fishing. The biggest threat of all is possibly a failure to invest in conservation as modern lifestyles take people further and further away from the natural environment. Introduction Australia’s birds are, like those in so much of the world, travelling poorly. Of the 1239 species and subspecies regularly occurring in Australia, 17% are Threatened or Near Threatened on the basis of the IUCN Red List Criteria (Garnett et al. 2011). This number has been increasing steadily (Szabo et al. 2012a) and, while originally it was taxa of Australia’s oceanic islands that were most likely to be threatened, taxa from the mainland are now starting to slip away (Szabo et al. 2012b). Sadly some of those most threatened are the most distinctive; birds at the end of long slender branches of the evolutionary tree whose closest relatives are long gone. Other species, however, are thriving under the conditions that have arisen over the past few centuries of intense development. © Cambridge University Press 2015.",,Book Chapter,,Scopus,2-s2.0-84953735630
"Sandercock B.K., Alfaro-Barrios M., Casey A.E., Johnson T.N., Mong T.W., Odom K.J., Strum K.M., Winder V.L.","Effects of grazing and prescribed fire on resource selection and nest survival of upland sandpipers in an experimental landscape",2014,"Landscape Ecology","30","2",,"325","337",,18,10.1007/s10980-014-0133-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925510226&doi=10.1007%2fs10980-014-0133-9&partnerID=40&md5=7c167d7b71bbeb208962a3dfa8277e65","Division of Biology, Kansas State University, 116 Ackert Hall, Manhattan, KS, United States; Programa de Desarrollo de las Ciencias Básicas, Universidad de la República, Iguá 4225, Montevideo, Uruguay; Wyoming Cooperative Fish and Wildlife Research Unit, University of Wyoming, 1000 E. University Ave, Box 3166, Laramie, WY, United States; Wyoming Fish and Game Department, Baggs, WY, United States; Department of Biological Sciences, University of Maryland, Baltimore, MD, United States; Point Blue Conservation Science, No. 11 - 3820 Cypress Drive, Petaluma, CA, United States; Department of Biology, Benedictine College, Atchison, KS, United States","Sandercock, B.K., Division of Biology, Kansas State University, 116 Ackert Hall, Manhattan, KS, United States; Alfaro-Barrios, M., Programa de Desarrollo de las Ciencias Básicas, Universidad de la República, Iguá 4225, Montevideo, Uruguay; Casey, A.E., Division of Biology, Kansas State University, 116 Ackert Hall, Manhattan, KS, United States; Johnson, T.N., Wyoming Cooperative Fish and Wildlife Research Unit, University of Wyoming, 1000 E. University Ave, Box 3166, Laramie, WY, United States; Mong, T.W., Wyoming Fish and Game Department, Baggs, WY, United States; Odom, K.J., Department of Biological Sciences, University of Maryland, Baltimore, MD, United States; Strum, K.M., Point Blue Conservation Science, No. 11 - 3820 Cypress Drive, Petaluma, CA, United States; Winder, V.L., Department of Biology, Benedictine College, Atchison, KS, United States","Context: Conservation of grassland vertebrates requires a mechanistic understanding of the effects of landscape heterogeneity on habitat selection and demographic performance. Objectives: Our goal was to investigate the effects of rangeland management on resource selection and nest survival of upland sandpipers (Bartramia longicauda). Methods: We conducted our project at Konza Prairie, a Long-Term Ecological Research site. The station has 60 experimental units with replicated grazing and fire treatments that create a heterogeneous landscape of different habitat patches. We radio-tracked sandpipers for two breeding seasons (2003–2004, n = 37 birds) and monitored sandpiper nests for eight seasons (2001–2008, n = 246 nests). We used resource utilization functions to examine resource selection with respect to five landscape features. Results: Home ranges of sandpipers were large in contiguous prairie (Formula presented.) and explain area-sensitive occurrence in fragmented prairie. Upland sandpipers selected grazed and burned sites with short vegetation within their home range. In contrast, nest site selection was influenced by fire frequency and birds selected infrequently burned sites with greater vegetative structure. Settlement decisions affected fitness because nest survival was low in burned and grazed sites (0.068), but higher in unburned and ungrazed sites (0.201–0.247). Conclusions: Our results raise concerns for conservation because private rangelands managed for livestock production are often homogeneous landscapes with heavy grazing and frequent fires. Rotational grazing and fire could be used to restore heterogeneity to grasslands but the duration of rotation, patch size, and optimal configuration require further investigation. © 2014, Springer Science+Business Media Dordrecht.","Bartramia longicauda; Fire; Grassland; Habitat selection; Home range; Landscape heterogeneity; Nest survival; Radio-telemetry; Resource utilization functions; Tallgrass prairie",Article,,Scopus,2-s2.0-84925510226
"Viner T.C., Kagan R.A., Johnson J.L.","Using an alternate light source to detect electrically singed feathers and hair in a forensic setting",2014,"Forensic Science International","234",,,"e25","e29",,7,10.1016/j.forsciint.2013.10.033,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891284375&doi=10.1016%2fj.forsciint.2013.10.033&partnerID=40&md5=b5b5fdff97156c5fcc6efa2bb51b83d3","Pathology Section, National Fish and Wildlife Forensics Laboratory, 1490 E. Main St., Ashland, OR 97520, United States","Viner, T.C., Pathology Section, National Fish and Wildlife Forensics Laboratory, 1490 E. Main St., Ashland, OR 97520, United States; Kagan, R.A., Pathology Section, National Fish and Wildlife Forensics Laboratory, 1490 E. Main St., Ashland, OR 97520, United States; Johnson, J.L., Pathology Section, National Fish and Wildlife Forensics Laboratory, 1490 E. Main St., Ashland, OR 97520, United States, ","Mortality due to electrical injury in wildlife may occur in the form of lightning strike or power line contact. Evidence of electrical contact may be grossly obvious, with extensive singeing, curling, and blackening of feathers, fur, or skin. Occasionally, changes may be subtle, owing to lower current or reduced conductivity, making a definitive diagnosis of electrocution more difficult. We describe the use of an alternate light source in the examination of cases of lightning strike and power line contact in wildlife, and the enhanced detection of changes due to electrical currents in the hair and feathers of affected animals. Subtle changes in the wing feathers of 12 snow geese and 1 wolf that were struck by separate lightning events were made obvious by the use of an alternate light source. Similarly, this technique can be used to strengthen the evidence for power line exposure in birds. © 2013.",,Article,,Scopus,2-s2.0-84891284375
"Minh T.D., Bouttavong P., Doerr K.S., Phuong L.Q., Tumpeesuwan S.","The water management at tram chim National Park, Vietnam",2014,"Asian Journal of Agriculture and Biology","2","2",,"86","95",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84999863232&partnerID=40&md5=ea549f3bb0ab9512b50df8ff5bf3ab7e","Can Tho University, Thailand; National University of Laos, Thailand; Louisiana State University, Thailand; Tram Chim National Park, Thailand; Mahasarakham University, Thailand","Minh, T.D., Can Tho University, Thailand; Bouttavong, P., National University of Laos, Thailand; Doerr, K.S., Louisiana State University, Thailand; Phuong, L.Q., Tram Chim National Park, Thailand; Tumpeesuwan, S., Mahasarakham University, Thailand","Tram Chim is a remnant wetland of the plain of reeds that drained prior to reunification. Tram Chim was most well known for being home to the Eastern Sarus Crane (Grus antigone sharpii) and many other water birds. One of the most essential things here is how to control the water levels effectively. Keeping the water too long and the water levels too high can destroy the ecosystem in Tram Chim while drying up the water and making the area too dried cause fire problems. The first objective was to analyze the hydrology of Tram Chim through a water budget and by assessing the variability and connectivity. The second objective was to survey the types of soils present and understand the processes involved. We found the water velocity at Tram Chim was close to zero. The pH values at Tram Chim indicate that water levels at unit A4 have kept too dry for too long, causing acid soils to oxidize, creating acid water when the wet season occurs. Due to this problem, many managers at Tram Chim attempt to restore the hydrology by regulating the water management in Tram Chim National Park.","Acid sulfate soil; Eleocharis; Fire; Hydrology; Ischaemum; Melaleuca; Rice; Sarus crane; Soil; Tram Chim; Wetland",Article,,Scopus,2-s2.0-84999863232
"Basumatary S.K., Bera S.K.","Modern pollen record on bat guano deposit from Siju cave and its implication to palaeoecological study in south Garo hills of Meghalaya, India",2014,"Journal of Cave and Karst Studies","76","3",,"173","183",,2,10.4311/2013PA0119,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925956880&doi=10.4311%2f2013PA0119&partnerID=40&md5=75aef5d9b9dbda67e043c62299e4c70e","Birbal Sahni Institute of Palaeobotany, Quaternary Palynology Division, 53, University Road, Lucknow, Uttar Pradesh, India","Basumatary, S.K., Birbal Sahni Institute of Palaeobotany, Quaternary Palynology Division, 53, University Road, Lucknow, Uttar Pradesh, India; Bera, S.K., Birbal Sahni Institute of Palaeobotany, Quaternary Palynology Division, 53, University Road, Lucknow, Uttar Pradesh, India","Meghalaya is well known for its rich tropical biodiversity and numerous natural caves. The Siju Cave of Meghalaya, also known as cave of the bat, is among the longest caves on the Indian subcontinent. The palynological study of fifty bat-guano samples from Siju Cave and of thirty surface soil and moss cushion from the area immediate surrounding the cave reflects the close similarity between the modern pollen and vegetation in the region in the two areas sampled. The resulting palynodata comprise mainly the native flora, dominated by riparian taxa like Duabanga, Syzygium, Careya, and Ficus, along with evergreen and deciduous elements in the region. The evergreen taxa Mesua, Elaeocarpus, and Garcinia, along with Impatiens, reflect the high precipitation in the region. The climate of the region and the vegetation are strongly influenced by the Simsang River, and the heavy rainfall results in the dominance of riparian taxa and other high-rainfall indicator taxa. The occurrence of pollen from Nepenthes khasiana, an endemic and endangered plant of Meghalaya, in bat guano is significant and may be due to its insectivorous and entomophilous nature. However, medicinal plants like Swertia chirata, Cinchona, and Rauvolfia are not encountered in the bat-guano sediments, despite their luxuriant growth around the cave, and these species could be avoided by the insects due to their alkaloid contain and bitter taste. The presence of highland taxa such as Pinus, Abies, Picea, and Larix in the bat guano deposit is significant and suggestive of high winds from higher altitudes, or the pollen may be introduced by the return of migratory Siberian birds during winter to the nearby Siju wildlife and bird sanctuary. The recovery of cerealia along with Areca catechu and Citrus pollen indicate the human activity in the region. The abundance of fungal remains, namely Meliola, Glomus, and Microthyriaceae along with degraded palynomorphs are suggestive of strong microbial activity under warm and humid conditions during sedimentation in the region. The main objective of this study is to identify the potential of bat guano for palaeoecological research and as supportive data for surface and sedimentary soil profiles in the South Garo Hills of Meghalaya. The palynodata from the bat guano of the Siju Cave provides a useful source for palaeoecological information for the South Garo Hills, where intensive natural and human-caused forest fires, heavy rainfall, and soil erosion occur every year and there is a relative scarcity of the lake, wetland, and swamp habitats that normally preserve pollen. © 2014, National Speleological Society Inc. All right reserved.",,Article,,Scopus,2-s2.0-84925956880
"Korsten A.C., Lee W.G., Monks A., Bastow Wilson J.","Understanding the role of birds in sustaining indigenous turf communities in a lacustrine wetland in New Zealand",2013,"New Zealand Journal of Ecology","37","2",,"206","213",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885738155&partnerID=40&md5=8f3b9418bfa17a69e49ca031ce5fa325","Botany Department, University of Otago, PO Box 56, Dunedin, New Zealand; Landcare Research, Private Bag 1030, Dunedin 9054, New Zealand; School of Biological Sciences, University of Auckland, 1010, New Zealand","Korsten, A.C., Botany Department, University of Otago, PO Box 56, Dunedin, New Zealand; Lee, W.G., Botany Department, University of Otago, PO Box 56, Dunedin, New Zealand, Landcare Research, Private Bag 1030, Dunedin 9054, New Zealand, School of Biological Sciences, University of Auckland, 1010, New Zealand; Monks, A., Landcare Research, Private Bag 1030, Dunedin 9054, New Zealand; Bastow Wilson, J., Botany Department, University of Otago, PO Box 56, Dunedin, New Zealand","Since human settlement, wetland ecosystems in New Zealand have been severely modified by fire and reduced by drainage for agricultural development. Those remaining are problematic to manage, with modified water regimes, invasive weeds and grazing by livestock. Before settlement, wetland habitats supported diverse avian herbivores, the majority of which are now extinct. However, introduced birds are increasing in wetlands. We sought to understand the role of grazing birds in the maintenance of local turf communities in a lacustrine environment in Otago, New Zealand. To determine the causes of the vegetation patterns, we investigated the influence of abiotic (water table and soil nutrients) and biotic (direct via grazing and indirect via faeces deposition) effects of the birds on the vegetation. Four plant communities were distinguished, two dominated by Leptinella and two by Carex species. The occurrence of the communities was correlated with the distance from the nearest permanent water, soil phosphorus levels, and amount of faecal deposition. The results indicate that avian grazing decreased the proportion of dominant exotic plant species by biomass removal, but not through enhanced nutrient inputs via faecal deposition. Results from this site suggest that naturalised geese facilitate the maintenance of indigenous plant species in the face of exotic invasion, and have a conservation role in highly modified wetland systems, perhaps restoring a herbivore function lost with the extinction of native avian grazers. The long-term conservation management of wetlands in New Zealand may require the utilisation of both native and introduced avian grazers to facilitate the dominance of indigenous plants. © New Zealand Ecological Society.","Avian herbivory; Grazing; Positive-feedback switch; Turf; Wetland restoration",Article,,Scopus,2-s2.0-84885738155
"Geerts S., Moodley D., Gaertner M., Le Roux J.J., Mcgeoch M.A., Muofhe C., Richardson D.M., Wilson J.R.U.","The absence of fire can cause a lag phase: The invasion dynamics of Banksia ericifolia (Proteaceae)",2013,"Austral Ecology","38","8",,"931","941",,17,10.1111/aec.12035,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888351864&doi=10.1111%2faec.12035&partnerID=40&md5=d3a00099bec1393113d94dc20ed5130c","Centre for Invasion Biology, Department of Botany and Zoology, Stellenbosch University, Matieland, South Africa; Invasive Species Programme, South African National Biodiversity Institute, Kirstenbosch Research Centre, Claremont, South Africa; South African National Parks, Steenberg, South Africa; Department of Agriculture, Forestry and Fisheries, Pretoria, South Africa; School of Biological Sciences, Monash University, Melbourne, Victoria, Australia","Geerts, S., Centre for Invasion Biology, Department of Botany and Zoology, Stellenbosch University, Matieland, South Africa, Invasive Species Programme, South African National Biodiversity Institute, Kirstenbosch Research Centre, Claremont, South Africa; Moodley, D., Centre for Invasion Biology, Department of Botany and Zoology, Stellenbosch University, Matieland, South Africa, Invasive Species Programme, South African National Biodiversity Institute, Kirstenbosch Research Centre, Claremont, South Africa; Gaertner, M., Centre for Invasion Biology, Department of Botany and Zoology, Stellenbosch University, Matieland, South Africa; Le Roux, J.J., Centre for Invasion Biology, Department of Botany and Zoology, Stellenbosch University, Matieland, South Africa; Mcgeoch, M.A., South African National Parks, Steenberg, South Africa, School of Biological Sciences, Monash University, Melbourne, Victoria, Australia; Muofhe, C., Centre for Invasion Biology, Department of Botany and Zoology, Stellenbosch University, Matieland, South Africa, Department of Agriculture, Forestry and Fisheries, Pretoria, South Africa; Richardson, D.M., Centre for Invasion Biology, Department of Botany and Zoology, Stellenbosch University, Matieland, South Africa; Wilson, J.R.U., Centre for Invasion Biology, Department of Botany and Zoology, Stellenbosch University, Matieland, South Africa, Invasive Species Programme, South African National Biodiversity Institute, Kirstenbosch Research Centre, Claremont, South Africa","The transition from a species introduction to an invasion often spans many decades (a lag phase). However, few studies have determined the mechanisms underlying lag phases. Such a mechanistic understanding is vital if the potential ecosystem-level impacts are to be predicted and the invasion risks to be managed proactively. Here we examine Banksia ericifolia, introduced for floriculture to South Africa, as a case study. We found 18 sites where the species has been planted, with self-sustaining (naturalized) populations at four sites, and an invasive population at one site. The invasion originated from around 100 individuals planted 35 years ago; after several fires this population has grown to approximately 10000 plants covering about 127ha. The current invasion of B.ericifolia already has ecosystem-level impacts, for example the nectar available to bird pollinators has more than doubled, potentially disrupting native pollination networks. If fires occurred at the other naturalized sites we anticipate populations would rapidly spread and densify with invaded areas ultimately become banksia-dominated woodlands. Indeed the only site other than the invasive site where fire has occurred regularly is already showing signs of rapid population growth and spread. However, recruitment is mainly immediately post fire and no seed bank accumulates in the soil, mechanical control of adult plants is cheap and effective, and immature plants are easily detected. This study is a first in illustrating the importance of fire in driving lag phases and provides a valuable example for why it is essential to determine the mechanisms that mediate lag phases in introduced plant species. Serotinous species that have been introduced to areas where fire is suppressed could easily be misinterpreted as low risk species whilst they remain in a lag phase, but they can represent a major invasion risk. © 2013 Ecological Society of Australia.","Biological invasion; Early detection and rapid response; Eradication; Fynbos; Horticulture; Proteaceae; Time lag",Article,,Scopus,2-s2.0-84888351864
"White A.M., Zipkin E.F., Manley P.N., Schlesinger M.D.","Simulating avian species and foraging group responses to fuel reduction treatments in coniferous forests",2013,"Forest Ecology and Management","304",,,"261","274",,5,10.1016/j.foreco.2013.04.039,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878695782&doi=10.1016%2fj.foreco.2013.04.039&partnerID=40&md5=1d3617a415290c8d25d0a2fb6f76cef6","USDA Forest Service, Pacific Southwest Research Station, Conservation of Biodiversity Group, 1731 Research Park Drive, Davis, CA 95618, United States; USGS Patuxent Wildlife Research Center, 12100 Beech Forest Rd., Laurel, MD 20708, United States; Department of Biology, University of Maryland, College Park, MD 20742, United States; USDA Forest Service, Pacific Southwest Research Station, Conservation of Biodiversity Group, 2480 Carson Road, Placerville, CA 95677, United States; Department of Environmental Science and Policy and Graduate Group in Ecology, University of California, One Shields Avenue, Davis, CA 95616, United States; New York Natural Heritage Program, 625 Broadway, Albany, NY 12233-4757, United States","White, A.M., USDA Forest Service, Pacific Southwest Research Station, Conservation of Biodiversity Group, 1731 Research Park Drive, Davis, CA 95618, United States; Zipkin, E.F., USGS Patuxent Wildlife Research Center, 12100 Beech Forest Rd., Laurel, MD 20708, United States, Department of Biology, University of Maryland, College Park, MD 20742, United States; Manley, P.N., USDA Forest Service, Pacific Southwest Research Station, Conservation of Biodiversity Group, 2480 Carson Road, Placerville, CA 95677, United States; Schlesinger, M.D., USDA Forest Service, Pacific Southwest Research Station, Conservation of Biodiversity Group, 1731 Research Park Drive, Davis, CA 95618, United States, Department of Environmental Science and Policy and Graduate Group in Ecology, University of California, One Shields Avenue, Davis, CA 95616, United States, New York Natural Heritage Program, 625 Broadway, Albany, NY 12233-4757, United States","Over a century of fire suppression activities have altered the structure and composition of mixed conifer forests throughout the western United States. In the absence of fire, fuels have accumulated in these forests causing concerns over the potential for catastrophic wildfires. Fuel reduction treatments are being used on federal and state lands to reduce the threat of wildfire by mechanically removing biomass. Although these treatments result in a reduction in fire hazard, their impact on wildlife is less clear. We use a multi-species occupancy modeling approach to build habitat-suitability models for 46 upland forest birds found in the Lake Tahoe Basin in the Sierra Nevada based on forest structure and abiotic variables. Using a Bayesian hierarchical framework, we predict species-specific and community-level responses to changes in forest structure and make inferences about responses of important avian foraging guilds. Disparities within and among foraging group responses to canopy cover, tree size and shrub cover emphasized the complexities in managing forests to meet biodiversity goals. Based on our species-specific model results, we predicted changes in species richness and community similarity under forest prescriptions representing three management practices: no active management, a typical fuel reduction treatment that emphasizes spacing between trees, and a thinning prescription that creates structural heterogeneity. Simulated changes to structural components of the forest analogous to management practices to reduce fuel loads clearly affected foraging groups differentially despite variability in responses within guilds. Although species richness was predicted to decrease slightly under both simulated fuels reduction treatments, the prescription that incorporated structural heterogeneity retained marginally higher species richness. The composition of communities supported by different management alternatives was influenced by urbanization and management practice, emphasizing the importance of creating heterogeneity at the landscape scale. © 2013 .","Biodiversity; Forest management; Functional group; Hierarchical modeling; Imperfect detection; Occurrence modeling",Article,,Scopus,2-s2.0-84878695782
"Greenberg C.H., Waldrop T.A., Tomcho J., Phillips R.J., Simon D.","Bird response to fire severity and repeated burning in upland hardwood forest",2013,"Forest Ecology and Management","304",,,"80","88",,8,10.1016/j.foreco.2013.04.035,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878368766&doi=10.1016%2fj.foreco.2013.04.035&partnerID=40&md5=9f6b9f606c647135e74d8c81558fb998","USDA Forest Service, Southern Research Station, Bent Creek Experimental Forest, 1577 Brevard Road, Asheville, NC 28806, United States; USDA Forest Service, Southern Research Station, Clemson, SC 29634, United States; North Carolina Wildlife Resources Commission, 78 Wildlife Lane, Burnsville, NC 28714, United States; North Carolina Wildlife Resources Commission, 8676 Will Hudson Road, Lawndale, NC 28090, United States","Greenberg, C.H., USDA Forest Service, Southern Research Station, Bent Creek Experimental Forest, 1577 Brevard Road, Asheville, NC 28806, United States; Waldrop, T.A., USDA Forest Service, Southern Research Station, Clemson, SC 29634, United States; Tomcho, J., North Carolina Wildlife Resources Commission, 78 Wildlife Lane, Burnsville, NC 28714, United States; Phillips, R.J., USDA Forest Service, Southern Research Station, Clemson, SC 29634, United States; Simon, D., North Carolina Wildlife Resources Commission, 8676 Will Hudson Road, Lawndale, NC 28090, United States","Prescribed burning is a common management tool for upland hardwood forests, with wildlife habitat improvement an often cited goal. Fire management for wildlife conservation requires understanding how species respond to burning at different frequencies, severities, and over time. In an earlier study, we experimentally assessed how breeding bird communities and species responded to fuel reduction treatments by mechanical understory reduction, low-severity prescribed fires, or mechanical understory reduction followed a year later by high-severity prescribed fires in upland hardwood forest. Here, we assess longer-term response to the initial mechanical treatment (M), and a second low-intensity burn in twice burned (B2) and mechanical. +. twice burned (MB2) treatments and controls (C). Initial (2003) higher dead fuel loadings and consequently high-severity fires in MB2 created open-canopy structure with abundant snags, resulting in much higher species richness and density of breeding birds compared to other treatments. Relative bird density and richness remained much higher in MB2 after a second burn, but few changes were evident that were not already apparent after one burn. The initial (2003) burn in B2 had cooler, low-severity fires that killed few trees. Delayed tree mortality occurred in both burn treatments after one burn, and continued in both after a second low-intensity burn. In B2, this resulted in gradual development of a ""perforated,"" patchy canopy structure with more snags. Abundance of total birds and most species in B2 was similar to C, but several additional species associated with open-forest conditions occurred at low levels, increasing richness in B2. In both burn treatments, burning temporarily reduced habitat suitability for ground-nesting birds. Bird communities in M were similar to C, as shrubs recovered rapidly. Results indicate that one or two relatively low-intensity burns with patches of hotter fire may result in gradual, subtle changes to canopy cover and structure that may slightly increase bird species richness over time. In contrast, a single high-intensity, high severity fire can create young forest conditions and a heterogeneous canopy structure that can be maintained by repeated burning and increase breeding bird relative abundance and richness by attracting disturbance-adapted species while retaining most other forest species. © 2013.","Breeding birds; Burn severity; Fire surrogate; Fuel reduction; Prescribed fire; Repeated burn",Article,,Scopus,2-s2.0-84878368766
"Lee D.E., Bond M.L., Borchert M.I., Tanner R.","Influence of fire and salvage logging on site occupancy of spotted owls in the San Bernardino and San Jacinto Mountains of Southern California",2013,"Journal of Wildlife Management","77","7",,"1327","1341",,17,10.1002/jwmg.581,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883454331&doi=10.1002%2fjwmg.581&partnerID=40&md5=9548af4d2d7cbaf19ae9bfd5f8aabfa6","Wild Nature Institute, P.O. Box 165, Hanover, NH 03755, United States; U.S.D.A. Forest Service, San Bernardino National Forest, 602 S. Tippecanoe Ave., San Bernardino, CA 92408, United States; Tanner Environmental Services, P.O. Box 6132, Ventura, CA 93001, United States","Lee, D.E., Wild Nature Institute, P.O. Box 165, Hanover, NH 03755, United States; Bond, M.L., Wild Nature Institute, P.O. Box 165, Hanover, NH 03755, United States; Borchert, M.I., U.S.D.A. Forest Service, San Bernardino National Forest, 602 S. Tippecanoe Ave., San Bernardino, CA 92408, United States; Tanner, R., Tanner Environmental Services, P.O. Box 6132, Ventura, CA 93001, United States","Fire over the past decade has affected forests in the San Bernardino Mountains of southern California, providing an excellent opportunity to examine how this disturbance, and subsequent post-fire salvage logging, influenced California spotted owl (Strix occidentalis occidentalis) breeding-season site occupancy dynamics there and in the nearby San Jacinto Mountains. Using occupancy survey data from 2003 to 2011 for all-detections and pairs-only data, we estimated annual extinction and colonization probabilities at 71 burned and 97 unburned breeding-season sites before and after fire, while controlling for confounding effects of non-fire-related temporal variation and among-site differences in habitat characteristics. We found no statistically significant effects of fire or salvage logging on occupancy dynamics of spotted owls of southern California. However, we found some evidence that fire and logging effects could be biologically meaningful. For pairs data, the model-averaged mean of fire-related effects on colonization and extinction probabilities resulted in a 0.062 lesser site-occupancy probability in burned sites 1-year post-fire relative to unburned sites. Post-fire salvage logging reduced occupancy an additional 0.046 relative to sites that only burned. We documented a threshold-type relationship between extinction and colonization probabilities and the amount of forested habitat (conifer or hardwood tree cover types) that burned at high severity within a 203-ha core area around spotted owl nests and roost centroids. Sites where approximately 0-50 ha of forested habitat within the core area burned at high severity had extinction probabilities similar to unburned sites, but where more than approximately 50 ha of forested habitat burned severely, extinction probability increased approximately 0.003 for every additional hectare severely burned. The majority (75%) of sites burned below this threshold. Sites where high-severity fire affected >50 ha of forested habitat could still support spotted owls, so all burned sites should be monitored for occupancy before management actions such as salvage logging are undertaken that could be detrimental to the subspecies. We also recommend that managers strive to reduce human-caused ignitions along the wildland-urban interface, particularly at lower elevations where owl sites are at higher risk of extinction from fire. © 2013 The Wildlife Society. Copyright © The Wildlife Society, 2013.","California spotted owl; fire severity; forest structure; occupancy modeling; population dynamics; Strix occidentalis",Article,,Scopus,2-s2.0-84883454331
